dhalterationid,collarid,holeid,companyholeid,fromdepth,todepth,Alt1_Code,Alt1_Int,Alt_Comments
954841,2145562,94873ENTYGYGAC059,YGAC059,66.0,71.0,PT,M,
1398709,3031557,89816ExplorationSIRC001,SIRC001,0.0,1.0,P,3,
1398710,3031557,89816ExplorationSIRC001,SIRC001,18.0,19.0,TC,1,
1398711,3031557,89816ExplorationSIRC001,SIRC001,31.0,32.0,TC,1,
1398712,3031557,89816ExplorationSIRC001,SIRC001,40.0,41.0,P,2,
1398713,3031557,89816ExplorationSIRC001,SIRC001,41.0,42.0,P,2,
1398714,3031557,89816ExplorationSIRC001,SIRC001,42.0,43.0,P,2,
1398715,3031557,89816ExplorationSIRC001,SIRC001,43.0,44.0,CH,3,
1398716,3031557,89816ExplorationSIRC001,SIRC001,44.0,45.0,CH,2,
1398717,3031557,89816ExplorationSIRC001,SIRC001,45.0,46.0,P,2,
1398718,3031558,89816ExplorationSIRC002,SIRC002,0.0,1.0,HM,3,
1398719,3031558,89816ExplorationSIRC002,SIRC002,29.0,30.0,P,4,
1398720,3031558,89816ExplorationSIRC002,SIRC002,30.0,31.0,LM,4,
1398721,3031558,89816ExplorationSIRC002,SIRC002,31.0,32.0,LM,4,
1398722,3031558,89816ExplorationSIRC002,SIRC002,32.0,33.0,LM,4,
1398723,3031558,89816ExplorationSIRC002,SIRC002,33.0,34.0,P,4,
1398724,3031558,89816ExplorationSIRC002,SIRC002,34.0,35.0,P,4,
1398725,3031558,89816ExplorationSIRC002,SIRC002,35.0,36.0,P,4,
1398726,3031558,89816ExplorationSIRC002,SIRC002,36.0,37.0,LM,4,
1398727,3031558,89816ExplorationSIRC002,SIRC002,37.0,38.0,LM,4,
1398728,3031558,89816ExplorationSIRC002,SIRC002,38.0,39.0,P,4,
1398729,3031558,89816ExplorationSIRC002,SIRC002,39.0,40.0,SK,4,
1398730,3031558,89816ExplorationSIRC002,SIRC002,40.0,41.0,P,4,
1398731,3031558,89816ExplorationSIRC002,SIRC002,41.0,42.0,SK,4,
1398732,3031558,89816ExplorationSIRC002,SIRC002,42.0,43.0,SK,4,
1398733,3031558,89816ExplorationSIRC002,SIRC002,43.0,44.0,P,4,
1398734,3031558,89816ExplorationSIRC002,SIRC002,54.0,55.0,TC,1,
1398735,3031558,89816ExplorationSIRC002,SIRC002,55.0,56.0,P,3,
1398736,3031558,89816ExplorationSIRC002,SIRC002,56.0,57.0,P,2,
1398737,3031558,89816ExplorationSIRC002,SIRC002,57.0,58.0,TC,2,
1398738,3031558,89816ExplorationSIRC002,SIRC002,61.0,62.0,TC,1,
1398739,3031558,89816ExplorationSIRC002,SIRC002,62.0,63.0,P,1,
1398740,3031558,89816ExplorationSIRC002,SIRC002,69.0,70.0,P,4,
1398741,3031558,89816ExplorationSIRC002,SIRC002,70.0,71.0,P,4,
1398742,3031558,89816ExplorationSIRC002,SIRC002,85.0,86.0,CH,3,
1398743,3031559,89816ExplorationSIRC003,SIRC003,0.0,1.0,HM,3,
1398744,3031559,89816ExplorationSIRC003,SIRC003,1.0,2.0,HM,3,
1398745,3031559,89816ExplorationSIRC003,SIRC003,2.0,3.0,HM,3,
1398746,3031559,89816ExplorationSIRC003,SIRC003,4.0,5.0,TC,1,
1398747,3031559,89816ExplorationSIRC003,SIRC003,5.0,6.0,TC,1,
1398748,3031559,89816ExplorationSIRC003,SIRC003,6.0,7.0,TC,1,
1398749,3031559,89816ExplorationSIRC003,SIRC003,7.0,8.0,P,2,
1398750,3031559,89816ExplorationSIRC003,SIRC003,14.0,15.0,P,1,
