,CollarID,HoleId,Longitude,Latitude,RL,MaxDepth,X,Y
0,1146526,71288Minjar NorthSSDD006,116.948,-28.8991,356.255,546.4,494930.29229304614,6803192.043577289
1,1146528,71288Minjar NorthSSDD008,116.947,-28.9021,356.871,405.0,494832.9464872541,6802859.630950436
2,1146530,71288Minjar NorthSSDD010,116.949,-28.9083,360.214,249.0,495028.2252038513,6802172.81914791
3,1146531,71288Minjar NorthSSDD011,116.948,-28.9002,357.153,468.0,494930.3457457231,6803070.174795521
4,1146650,71288Minjar NorthSSDD005,116.948,-28.9002,357.156,150,494930.3457457231,6803070.174795521
5,1233095,82655KararaBHN1001,116.818,-29.1504,383.557,108,482298.91854184837,6775337.471745353
6,1233096,82655KararaBHN1002,116.818,-29.151,382.505,108,482299.0214012914,6775270.995215893
7,1233098,82655KararaKAR1001,116.775,-29.1886,414.225,713.4,478124.8853609226,6771097.87945292
8,1233099,82655KararaKAR1002,116.775,-29.1885,414.093,620.2,478124.8641420709,6771108.958952691
9,1233100,82655KararaKAR1003,116.774,-29.1913,439.337,200,478028.23784403095,6770798.546275511
10,1233101,82655KararaKAR1004,116.775,-29.1913,439.583,186,478125.4582950975,6770798.732896595
11,1233102,82655KararaKAR1005,116.776,-29.1913,420.274,150,478222.6787426423,6770798.918690075
12,1233103,82655KararaKAR1006,116.776,-29.1801,427.641,250,478220.3130054073,6772039.822091833
13,1233104,82655KararaKAR1007,116.777,-29.1788,413.069,250,478317.2706960047,6772184.040304117
14,1233105,82655KararaKAR1008,116.777,-29.1781,417.671,236,478317.12353102944,6772261.5966800265
15,1233106,82655KararaKAR1009,116.778,-29.1772,411.446,162,478414.16805981833,6772361.496090911
16,1233107,82655KararaKAR1010,116.78,-29.1763,411.607,240,478608.44886505173,6772461.577078013
17,1233108,82655KararaKAR1011,116.785,-29.1731,377.475,150,479093.97315932723,6772817.019922759
18,1233109,82655KararaMKC309,116.822,-29.1489,408.771,180,482687.70248056186,6775504.258359458
19,1233110,82655KararaMKC430,116.823,-29.1473,378.195,150,482784.69600878574,6775681.675772285
20,1233113,82655KararaMKC433,116.819,-29.1515,377.159,221,482396.3649439023,6775215.748181276
21,1233114,82655KararaMKC434,116.82,-29.1502,398.064,197,482493.4023518848,6775359.929907514
22,1233115,82655KararaMKC435,116.82,-29.1502,397.877,162,482493.4023518848,6775359.929907514
23,1233116,82655KararaMKC436,116.818,-29.1517,374.325,144,482299.1414064274,6775193.439257335
24,1233117,82655KararaMKC439,116.823,-29.1477,387.49,120,482784.7626911434,6775637.358113552
25,1233118,82655KararaMKC440,116.819,-29.1521,368.867,120,482396.46724171465,6775149.271642853
26,1233121,82655KararaMKC445,116.821,-29.149,403.327,120,482590.45907480904,6775493.031352876
27,1233125,82655KararaMKC451,116.82,-29.1496,400.418,107,482493.30062533764,6775426.406425158
28,1233126,82655KararaMKC452,116.82,-29.1497,400.363,190,482493.3175796289,6775415.327005966
29,1233127,82655KararaMKC454,116.82,-29.1498,403.73,126,482493.3345339735,6775404.247586604
30,1233130,82655KararaMKC457,116.822,-29.1488,412.147,162,482687.6857150756,6775515.33777669
31,1233133,82655KararaMKC460,116.823,-29.1485,408.102,168,482784.8960583749,6775548.722788153
32,1233134,82655KararaMKC461,116.822,-29.1487,411.867,126,482687.668949642,6775526.4171937555
33,1233135,82655KararaMKC464,116.783,-29.1715,415.086,101,478899.17073849135,6772993.934061274
34,1233136,82655KararaMKC465,116.783,-29.1715,415.117,186,478899.17073849135,6772993.934061274
35,1233137,82655KararaMKC466,116.784,-29.1718,414.784,270,478996.4709049776,6772960.874752611
36,1233138,82655KararaMKC467,116.78,-29.174,410.218,154,478607.971877597,6772716.405017547
