CollarID,Depth,Azimuth,Dip,Index,X,Y,Z,
153802,0.000000,90.000000,-50.000000,2,495028.106029,6802449.793954,390.166000,
153802,0.000000,90.000000,-50.000000,2,494917.618977,6802449.793954,349.952002,
153803,0.000000,90.000000,-55.000000,4,495028.106029,6802449.793954,359.251000,
153803,0.000000,90.000000,-55.000000,4,494906.041567,6802449.793954,320.764223,
153804,0.000000,90.000000,-60.000000,6,495028.106029,6802449.793954,359.132000,
153804,0.000000,90.000000,-60.000000,6,494970.810249,6802449.793954,343.779642,
153804,60.000000,90.000000,-90.000000,6,494910.810249,6802449.793954,343.779642,
153813,0.000000,90.000000,-60.000000,9,495028.139397,6802372.241019,359.122000,
153813,0.000000,90.000000,-60.000000,9,494980.392914,6802372.241019,346.328368,
153813,50.000000,90.000000,-90.000000,9,494930.392914,6802372.241019,346.328368,
153813,100.000000,90.000000,-90.000000,9,494856.392914,6802372.241019,346.328368,
153816,0.000000,90.000000,-60.000000,13,495028.153698,6802339.004044,359.387000,
153816,0.000000,90.000000,-60.000000,13,494980.407215,6802339.004044,346.593368,
153816,50.000000,90.000000,-90.000000,13,494930.407215,6802339.004044,346.593368,
153816,100.000000,90.000000,-90.000000,13,494884.407215,6802339.004044,346.593368,
153834,0.000000,90.000000,-60.000000,17,495028.053595,6802571.662836,359.737000,
153834,0.000000,90.000000,-60.000000,17,494976.487393,6802571.662836,345.919878,
153834,54.000000,90.000000,-90.000000,17,494928.487393,6802571.662836,345.919878,
153834,102.000000,90.000000,-90.000000,17,494892.487393,6802571.662836,345.919878,
153835,0.000000,90.000000,-60.000000,21,495028.024995,6802638.136763,358.549000,
153835,0.000000,90.000000,-60.000000,21,494980.278512,6802638.136763,345.755368,
153835,50.000000,90.000000,-90.000000,21,494930.278512,6802638.136763,345.755368,
153835,100.000000,90.000000,-90.000000,21,494880.278512,6802638.136763,345.755368,
548917,0.000000,89.600000,-60.790000,25,514164.694405,6747200.116329,358.533000,
548917,0.000000,89.600000,-60.790000,25,514145.549746,6747200.125405,353.544284,
548917,20.000000,90.400000,-90.000000,25,514125.560924,6747200.736118,353.544284,
548917,40.000000,93.100000,-90.000000,25,514105.611782,6747202.148593,353.544284,
548917,60.000000,95.000000,-90.000000,25,514085.705844,6747204.082851,353.544284,
548917,80.000000,96.100000,-90.000000,25,514065.830577,6747206.312219,353.544284,
548917,100.000000,96.700000,-90.000000,25,514045.963131,6747208.610961,353.544284,
548917,120.000000,96.500000,-90.000000,25,514026.099759,6747210.944371,353.544284,
548917,140.000000,96.900000,-90.000000,25,514006.278330,6747213.606722,353.544284,
548917,160.000000,98.400000,-90.000000,25,513986.482845,6747216.459295,353.544284,
548917,180.000000,98.000000,-90.000000,25,513966.660974,6747219.121705,353.544284,
548917,200.000000,97.300000,-90.000000,25,513956.747699,6747220.435614,353.544284,
548918,0.000000,90.300000,-60.470000,37,514358.731538,6747199.871910,331.316000,
548918,0.000000,90.300000,-60.470000,37,514339.608265,6747200.186237,326.274953,
548918,20.000000,91.500000,-90.000000,37,514319.625026,6747200.988847,326.274953,
548918,40.000000,93.100000,-90.000000,37,514299.687163,6747202.540485,326.274953,
548918,60.000000,95.800000,-90.000000,37,514279.822450,6747204.856480,326.274953,
548918,80.000000,97.500000,-90.000000,37,514260.035187,6747207.760766,326.274953,
548918,100.000000,99.200000,-90.000000,37,514240.321368,6747211.130511,326.274953,
548918,120.000000,100.200000,-90.000000,37,514220.643677,6747214.706554,326.274953,
548918,140.000000,100.400000,-90.000000,37,514200.991511,6747218.419869,326.274953,
548918,160.000000,101.000000,-90.000000,37,514181.369047,6747222.287429,326.274953,
548918,180.000000,101.300000,-90.000000,37,514167.621737,6747224.934744,326.274953,
548919,0.000000,90.100000,-60.570000,48,514353.656026,6743200.041637,321.677000,
548919,0.000000,90.100000,-60.570000,48,514334.526248,6743200.307031,316.652238,
548919,20.000000,91.400000,-90.000000,48,514314.538797,6743201.005008,316.652238,
548919,40.000000,92.600000,-90.000000,48,514294.562715,6743201.982002,316.652238,
548919,60.000000,93.000000,-90.000000,48,514274.590124,6743203.028721,316.652238,
548919,80.000000,93.000000,-90.000000,48,514254.616630,6743204.058010,316.652238,
548919,100.000000,92.900000,-90.000000,48,514234.644983,6743205.122157,316.652238,
548919,120.000000,93.200000,-90.000000,48,514214.676168,6743206.238587,316.652238,
548919,140.000000,93.200000,-90.000000,48,514194.710367,6743207.407290,316.652238,
548919,160.000000,93.500000,-90.000000,48,514174.748746,6743208.645681,316.652238,
548919,180.000000,93.600000,-90.000000,48,514154.792758,6743209.971156,316.652238,
548919,200.000000,94.000000,-90.000000,48,514134.846509,6743211.435917,316.652238,
548919,220.000000,94.400000,-90.000000,48,514114.912402,6743213.057287,316.652238,
548919,240.000000,94.900000,-90.000000,48,514107.938510,6743213.661291,316.652238,
548920,0.000000,86.300000,-59.100000,62,513968.688083,6745604.860006,357.628000,
548920,0.000000,86.300000,-59.100000,62,513949.677788,6745603.720297,352.364356,
548920,20.000000,86.800000,-90.000000,62,513929.694123,6745602.935136,352.364356,
548920,40.000000,88.700000,-90.000000,62,513909.695412,6745602.812970,352.364356,
548920,60.000000,90.600000,-90.000000,62,513889.703088,6745603.336487,352.364356,
548920,80.000000,92.400000,-90.000000,62,513869.738179,6745604.505138,352.364356,
548920,100.000000,94.300000,-90.000000,62,513849.816382,6745606.265589,352.364356,
548920,120.000000,95.800000,-90.000000,62,513829.951669,6745608.581584,352.364356,
548920,140.000000,97.500000,-90.000000,62,513810.159207,6745611.451354,352.364356,
548920,160.000000,99.000000,-90.000000,62,513790.422183,6745614.683416,352.364356,
548920,180.000000,99.600000,-90.000000,62,513770.738630,6745618.225046,352.364356,
548920,200.000000,100.800000,-90.000000,62,513751.126586,6745622.143919,352.364356,
548920,220.000000,101.800000,-90.000000,62,513731.578427,6745626.370380,352.364356,
548920,240.000000,102.600000,-90.000000,62,513724.748346,6745627.903344,352.364356,
548921,0.000000,90.800000,-59.530000,76,514357.719702,6746402.123558,351.116000,
548921,0.000000,90.800000,-59.530000,76,514338.652927,6746402.497067,345.922096,
548921,20.000000,91.400000,-90.000000,76,514318.673190,6746403.369401,345.922096,
548921,40.000000,93.600000,-90.000000,76,514298.727265,6746404.834138,345.922096,
548921,60.000000,94.800000,-90.000000,76,514278.818103,6746406.733639,345.922096,
548921,80.000000,96.100000,-90.000000,76,514258.940870,6746408.945665,345.922096,
548921,100.000000,96.600000,-90.000000,76,514239.081600,6746411.313740,345.922096,
548921,120.000000,97.000000,-90.000000,76,514219.212350,6746413.595121,345.922096,
548921,140.000000,96.100000,-90.000000,76,514199.337083,6746415.824489,345.922096,
548921,160.000000,96.700000,-90.000000,76,514179.481976,6746418.227221,345.922096,
548921,180.000000,97.100000,-90.000000,76,514159.648644,6746420.803121,345.922096,
548921,200.000000,97.700000,-90.000000,76,514139.831328,6746423.500139,345.922096,
548921,220.000000,97.800000,-90.000000,76,514120.023568,6746426.266314,345.922096,
548921,240.000000,98.100000,-90.000000,76,514111.113355,6746427.534425,345.922096,
548922,0.000000,90.500000,-60.330000,90,514163.696243,6746402.368015,323.555000,
548922,0.000000,90.500000,-60.330000,90,514154.140239,6746402.594237,321.022994,
548924,0.000000,90.800000,-60.200000,92,514840.671114,6744794.918515,325.607000,
548924,0.000000,90.800000,-60.200000,92,514821.563414,6744795.238904,320.522102,
548924,20.000000,91.100000,-90.000000,92,514801.566775,6744795.605403,320.522102,
548924,40.000000,91.000000,-90.000000,92,514781.570136,6744795.971901,320.522102,
548924,60.000000,91.100000,-90.000000,92,514761.576665,6744796.477989,320.522102,
548924,80.000000,91.800000,-90.000000,92,514741.587092,6744797.123649,320.522102,
548924,100.000000,91.900000,-90.000000,92,514721.598087,6744797.786753,320.522102,
548924,120.000000,91.900000,-90.000000,92,514701.610910,6744798.502184,320.522102,
548924,140.000000,92.200000,-90.000000,92,514681.623134,6744799.200173,320.522102,
548924,160.000000,91.800000,-90.000000,92,514661.632465,6744799.810943,320.522102,
548924,180.000000,91.700000,-90.000000,92,514656.634300,6744799.946189,320.522102,
548925,0.000000,91.300000,-60.080000,103,514646.675177,6744795.171364,347.521000,
548925,0.000000,91.300000,-60.080000,103,514627.575016,6744795.515480,342.416540,
548925,20.000000,90.800000,-90.000000,103,514607.575665,6744795.655104,342.416540,
548925,40.000000,90.000000,-90.000000,103,514587.575676,6744795.672557,342.416540,
548925,60.000000,90.100000,-90.000000,103,514567.576112,6744795.794729,342.416540,
548925,80.000000,90.600000,-90.000000,103,514547.577615,6744796.039069,342.416540,
548925,100.000000,90.800000,-90.000000,103,514527.579331,6744796.300861,342.416540,
548925,120.000000,90.700000,-90.000000,103,514507.580275,6744796.492844,342.416540,
548925,140.000000,90.400000,-90.000000,103,514487.580763,6744796.632469,342.416540,
548925,160.000000,90.400000,-90.000000,103,514467.580925,6744796.632469,342.416540,
548925,180.000000,89.600000,-90.000000,103,514447.581697,6744796.457938,342.416540,
