CollarID,Depth,Azimuth,Dip
153802,0.0,90.0,-50.0
153802,120.0,90.0,-90.0
153803,0.0,90.0,-55.0
153803,130.0,90.0,-90.0
153804,0.0,90.0,-60.0
153804,60.0,90.0,-90.0
153804,120.0,90.0,-90.0
153813,0.0,90.0,-60.0
153813,50.0,90.0,-90.0
153813,100.0,90.0,-90.0
153813,174.0,90.0,-90.0
153816,0.0,90.0,-60.0
153816,50.0,90.0,-90.0
153816,100.0,90.0,-90.0
153816,146.0,90.0,-90.0
153834,0.0,90.0,-60.0
153834,54.0,90.0,-90.0
153834,102.0,90.0,-90.0
153834,138.0,90.0,-90.0
153835,0.0,90.0,-60.0
153835,50.0,90.0,-90.0
153835,100.0,90.0,-90.0
153835,150.0,90.0,-90.0
548917,0.0,89.6,-60.79
548917,20.0,90.4,-90.0
548917,40.0,93.1,-90.0
548917,60.0,95.0,-90.0
548917,80.0,96.1,-90.0
548917,100.0,96.7,-90.0
548917,120.0,96.5,-90.0
548917,140.0,96.9,-90.0
548917,160.0,98.4,-90.0
548917,180.0,98.0,-90.0
548917,200.0,97.3,-90.0
548917,210.0,97.8,-90.0
548918,0.0,90.3,-60.47
548918,20.0,91.5,-90.0
548918,40.0,93.1,-90.0
548918,60.0,95.8,-90.0
548918,80.0,97.5,-90.0
548918,100.0,99.2,-90.0
548918,120.0,100.2,-90.0
548918,140.0,100.4,-90.0
548918,160.0,101.0,-90.0
548918,180.0,101.3,-90.0
548918,194.0,100.5,-90.0
548919,0.0,90.1,-60.57
548919,20.0,91.4,-90.0
548919,40.0,92.6,-90.0
548919,60.0,93.0,-90.0
548919,80.0,93.0,-90.0
548919,100.0,92.9,-90.0
548919,120.0,93.2,-90.0
548919,140.0,93.2,-90.0
548919,160.0,93.5,-90.0
548919,180.0,93.6,-90.0
548919,200.0,94.0,-90.0
548919,220.0,94.4,-90.0
548919,240.0,94.9,-90.0
548919,247.0,95.0,-90.0
548920,0.0,86.3,-59.1
548920,20.0,86.8,-90.0
548920,40.0,88.7,-90.0
548920,60.0,90.6,-90.0
548920,80.0,92.4,-90.0
548920,100.0,94.3,-90.0
548920,120.0,95.8,-90.0
548920,140.0,97.5,-90.0
548920,160.0,99.0,-90.0
548920,180.0,99.6,-90.0
548920,200.0,100.8,-90.0
548920,220.0,101.8,-90.0
548920,240.0,102.6,-90.0
548920,247.0,102.7,-90.0
548921,0.0,90.8,-59.53
548921,20.0,91.4,-90.0
548921,40.0,93.6,-90.0
548921,60.0,94.8,-90.0
548921,80.0,96.1,-90.0
548921,100.0,96.6,-90.0
548921,120.0,97.0,-90.0
548921,140.0,96.1,-90.0
548921,160.0,96.7,-90.0
548921,180.0,97.1,-90.0
548921,200.0,97.7,-90.0
548921,220.0,97.8,-90.0
548921,240.0,98.1,-90.0
548921,249.0,98.1,-90.0
548922,0.0,90.5,-60.33
548922,10.0,92.1,-90.0
548924,0.0,90.8,-60.2
548924,20.0,91.1,-90.0
548924,40.0,91.0,-90.0
548924,60.0,91.1,-90.0
548924,80.0,91.8,-90.0
548924,100.0,91.9,-90.0
548924,120.0,91.9,-90.0
548924,140.0,92.2,-90.0
548924,160.0,91.8,-90.0
548924,180.0,91.7,-90.0
548924,185.0,91.4,-90.0
548925,0.0,91.3,-60.08
548925,20.0,90.8,-90.0
548925,40.0,90.0,-90.0
548925,60.0,90.1,-90.0
548925,80.0,90.6,-90.0
548925,100.0,90.8,-90.0
548925,120.0,90.7,-90.0
548925,140.0,90.4,-90.0
548925,160.0,90.4,-90.0
548925,180.0,89.6,-90.0
548925,200.0,89.4,-90.0
548925,220.0,89.1,-90.0
548925,240.0,89.2,-90.0
548925,260.0,89.2,-90.0
548925,280.0,88.9,-90.0
548925,300.0,88.4,-90.0
548925,320.0,88.1,-90.0
548925,340.0,88.3,-90.0
548925,349.0,88.4,-90.0
792942,0.0,317.8,-59.59
792942,10.0,318.2,-90.0
792942,20.0,318.7,-90.0
792942,30.0,319.7,-90.0
792942,40.0,320.5,-90.0
792942,50.0,320.9,-90.0
792942,60.0,320.8,-90.0
792942,70.0,321.2,-90.0
792942,80.0,323.0,-90.0
792942,90.0,323.6,-90.0
792942,100.0,325.7,-90.0
792942,110.0,326.0,-90.0
792942,120.0,326.2,-90.0
792942,130.0,326.4,-90.0
792942,140.0,326.6,-90.0
792942,150.0,327.2,-90.0
792942,155.0,327.4,-90.0
792943,0.0,317.6,-59.7
792943,10.0,317.7,-90.0
792943,20.0,318.1,-90.0
792943,30.0,318.8,-90.0
792943,40.0,319.6,-90.0
792943,50.0,320.0,-90.0
792943,60.0,320.6,-90.0
792943,70.0,320.3,-90.0
792943,80.0,321.4,-90.0
792943,90.0,322.8,-90.0
792948,0.0,317.1,-60.31
792948,10.0,317.1,-90.0
792948,20.0,317.2,-90.0
792948,30.0,317.5,-90.0
792948,40.0,317.3,-90.0
792948,50.0,318.2,-90.0
792948,60.0,318.9,-90.0
792948,70.0,318.8,-90.0
792948,80.0,319.3,-90.0
792948,90.0,318.7,-90.0
792948,100.0,319.1,-90.0
792948,105.0,319.0,-90.0
792948,120.0,319.2,-90.0
792948,140.0,319.5,-90.0
792948,170.0,320.0,-90.0
792948,200.0,320.5,-90.0
792948,222.0,321.0,-90.0
792949,0.0,140.6,-58.15
792949,10.0,140.0,-90.0
792949,20.0,140.1,-90.0
792949,30.0,139.9,-90.0
792949,40.0,140.5,-90.0
792949,50.0,142.0,-90.0
792949,60.0,143.5,-90.0
792949,70.0,143.6,-90.0
792949,80.0,144.0,-90.0
792949,90.0,145.2,-90.0
792949,100.0,145.8,-90.0
792949,110.0,145.9,-90.0
792949,120.0,146.5,-90.0
792949,130.0,145.5,-90.0
792949,140.0,144.9,-90.0
792949,150.0,145.3,-90.0
792949,160.0,145.3,-90.0
792949,170.0,145.5,-90.0
792949,180.0,145.5,-90.0
792949,190.0,146.1,-90.0
792949,200.0,146.4,-90.0
792949,210.0,146.9,-90.0
792949,220.0,146.6,-90.0
792949,230.0,146.9,-90.0
792949,240.0,147.8,-90.0
792949,250.0,147.5,-90.0
792949,260.0,147.2,-90.0
792949,270.0,147.6,-90.0
792949,280.0,146.1,-90.0
792949,282.0,147.9,-90.0
792950,0.0,136.5,-58.94
792950,10.0,138.3,-90.0
792950,15.0,138.3,-90.0
792950,20.0,139.1,-90.0
792950,25.0,139.4,-90.0
792950,30.0,138.1,-90.0
792950,32.0,137.5,-90.0
792951,0.0,137.6,-59.63
792951,10.0,137.9,-90.0
792951,20.0,139.0,-90.0
792951,30.0,139.5,-90.0
792951,40.0,139.7,-90.0
792951,50.0,140.1,-90.0
792951,60.0,140.6,-90.0
792951,70.0,140.7,-90.0
792951,80.0,141.1,-90.0
792951,90.0,141.3,-90.0
792951,100.0,141.9,-90.0
792951,110.0,142.3,-90.0
792951,120.0,142.1,-90.0
792951,130.0,142.2,-90.0
792951,140.0,142.4,-90.0
792951,150.0,143.2,-90.0
792951,160.0,143.8,-90.0
