0,1
Lith_Desc,cementedf clays
Lith_Desc,cemented felsic parent to 10m
Comments,Cemented ferricrete sand
Lith_Desc,cemented ferrug frags
Comments,Cemented ferruginous sand
Comment_2,CEMENTED FERRUGINOUS XIR + MINOR SANDY CLAY.
description,CEMENTED GOETHITE COATED XLA.
Comments,cemented gravel
Comments,Cemented gravel best descibed as laterite consisting of fragments of hematite often rimmed with limonite and goethite supported by a quartz cemented sand which becomes more ferruginuos towards the end of the interval and generally mde from fragmental pick
Comments,Cemented gravel laterite
Comments,cemented gravels
Comments,"""Cemented gravels, clay"""
Comment_2,CEMENTED GRAVELS + XIR.
Comments,cemented gritty qtz saprolite
Comments,"cemented, hard"
Lith_Desc,cemented ka
Lith_Desc,cemented ka (tc) to 21m
Comments,cemented laterite chips
Comments,cemented laterite cover
Comments,cemented laterite gravel
Comments,cemented laterite pieces
Lith_Desc,cemented Lff nodules
Comments,cemented; locally derived colluvium with rock fragments to 2cm across
Comments,CEMENTED LPS WITH CUTANS - LOCALLY DERIVED(?) TRANSPORTED
Comments,cemented motled saprolite
Comments,cemented mottled clay zone + pisolitic gravels
Comments,"""cemented, mottled saprolite """
Comments,cemented mottled saprolite 
Comments,cemented mottled saprolite zone
Comments,cemented pallid clays
Lith_Desc,Cemented pis
Comments,Cemented pis   (Colour):  br
Comment_2,CEMENTED PISOLITE GRAVELS.
Comment_2,CEMENTED PISOLITE GRAVELS +XIR.
Comments,cemented pisolites
Comments,cemented pisolitic + qtz fragment laterite
Comment,"""cemented pisol laterite, grades into mottled lim / hem stained zone with scattered pisol with ang qtz grit < 3mm throughout mnr clay veining // surface."""
Lith_Desc,cemented pisos
Lith_Desc,"cemented pisos,li coatings"
Lith_Desc,cemented Qff
Comments,cemented qtz clays + pisolitic gravels
Comments,cemented qtz feldspar saprock chip - felsic?
Comments,cemented qtz fragment saprolite
Comments,cemented qtz fragments - lateritic? 
Comments,cemented qtz mica saprock
Comments,cemented qtz mica saprolite
Comments,cemented qtz nontronite saprolite
Comments,cemented qtz saprock
Comments,cemented qtz saprolite
Comments,cemented qtz saprolite/saprock
Comments,cemented qtz saprolite - slightly mottled
Comments,cemented qtz saprolite zone
Comments,Cemented sand
Comments,cemented sand and gravel
Comments,CEMENTED SAND HARD PAN
Comments,Cemented sand + lag gravel
Comments,cemented sandy grains
Comments,cemented saprolite
COMMENTS,"Cemented snadstone, with pyrtie-silica cemnt"
Lith_Desc,cemented talc
Comments,CEMENTED WEAKLY LATERITIC
Comments,cemented weathered saprock?
Comments,cemented ws
Lith_Desc,cemneted clays (ka)
Lith_Desc,cem.pis.lat.
Comments,Centimetric to millimetric alternance of pink and grey chert with magnetite bands. Medium magnetism 25% Fe. Weak deformation; a few faults.
Comments,"Ceram-Beige, Partly Ox, C.G, Massive, Qtz Fs Hb Granite"
Lith_Desc,Certainly basement after 22m
Comments,cg
Comment,CG
COMMENTS,CG 8.2-12
Comment,"""c.g. <8mm f'spar equigranular or elongate parallel to foliation, 'ghosted' and ca altered in part, wispy clt/biot parallel to foliation"""
Description,c/g Aan/Aod or pyroxenite? 2-4mm diameter ppb AM/PX?
Description,c/g aegirine subhedral crystals within Aan as per 57.45 to 102.40m
Comments,cg alluvial sands
Lith_Desc,cg amphib? + basalt
Comment,Cg and gr sdst w/ fine silty laminae decreasing frequencey d/h. grading into next unit which is true breccia w/ distinct clasts. V fine < 2mm clastic material grading up to next unit.
Description,"""c/g Aod/Aan/pyroxenite? Poorly fol., crystals 2-4mm, g/s decr. with depth"""
Description,"""c/g Aod/Aan/pyroxenite? Poorly foliated, crystals 2-4mm"""
Description,"""c/g Aod/Aan/pyroxenite? Str. fol. and deform., crystals 2-4mm"""
Lith_Desc,cg biotite flakes
Comments,cg bt flakes in mg felsic tuff
Gen_Desc1,CGC
Description/Notes,CG cubic pyrite with MX within qtz aplite
Comment,CG DLT THAT FINES SLIGHTLY DOWN HOLE
Comment,"""Cg dlt w/ chill margin at top of unit. Last 2m distinctly coarser w/ lenticular mineral growth and bnd bi alt, poss separate dlt intrusive? Mod / weak qzca veining w/ some ankerite?"""
Lith_Desc,"cg.dol,cg.bi.flakes"
Comment,"""c.g. elongate f'spar, <7mm parallel to foliation, 'ghosted' in part, chilled top, wispy clt/biot parallel to foliation"""
Comment,"""c.g. elongate f'spar, <8mm parallel to foliation, 'ghosted' and ca altered in part, wispy clt parallel to foliation"""
Comment,"""Cg Equigran vbx, mod fol w si - se altn in foliation py (dis) in fol and g'mass."""
Comment,Cg feld phyr dac w per s clt altn.
Comment,"""CG FELS,CLT ALT AMPH, EQUIGRANULAR DLT"""
Comment,CG FELS PHYRIC DAC+1-2MM QTZ XLS
Comment,"""CG FELS PHYRIC & SCATTERED QTZ PHYRIC DAC, SAME AS 203-226m"""
Comment,"""CG FRAGMENTAL VC/BX WITH CLT ALY ANGULAR CLASTS IN CG FRAGMENTAL MATRIX, PATCHES OF BROKEN CORE-FAULTA"""
Comment,CG FROM 710-720m
Comment,Cg fsph dac.
Comment,cg FSPH dacite; euhedral feld<8mm carb alt; perv silic/carb alt g'mass; mnr chl alt on frc; tr lim stain on frc
Comment,Cg fsph dac w clt altn in fs phenos.
Comment,"""CG FSPH fol dacite euhedral feld elongate I/p // fol<10mm growth zoning preserved, wispy chl & patchy wispy ser // fol, scattered subrdd qtz<6mm"""
Comment,Cg fsph post min dac w abund feld phenos.
Comment,Cg fsph post min? dac with spo se altn in felds. Feld phenos up to 15mm.
Comments,cg fx rich mafic MGR
Comments,cg fx-rich mafic MGR
Comments,cg fx-rich mafic MGR; some MAM present
Lith_Desc,cg gabbro??
Comment,Cg graded mas pum sdst weakly bxd near base.
Comments,cg granite
Comments,cg granite dyke
Comments,cg granitic rock
Comments,"""cg I margins, F core, 3mm PL laths"""
Comment,"""CG interior, chilled contacts"""
Comments,CG laths of plag - Mafic??
Major Desc,cg leucogranite to pegmatite. mn hm stng. bxd and clayey lcon.
Comments,C/g mafic intrusive
Comments,"""C/g mafic intrusive (moderately foliated) intervals present, subordinate amphibolite (f/g-m/g) intervals present"""
