0,1
Lith_Desc,rock
COMMENTS,Rock1=?
Comments,ROCK AND MT VEINS MAGNETIC
Comments,ROCK AND PO VEINS MAGNETIC
Lith_Desc,Rock becoming much fresher Mb?
Comment,rock chip -> leuco mgo
Comments,"ROCK CHIP, OFF SURFACE"
Lith_Desc,rock chips
Lith_Desc,Rock chips
Lith_Desc,rock chip samples less 3mm.
Comments,ROCK COMPOSED OF BIOTITE + QUARTZ
Comments,rock contains fresh looking patches of fresh mafic in weathered light colored saprolite; hard with fina amphiboles when fresh; weathered area are mottled orange; red; yellow brown
COMMENTS,Rock fabric
COMMENTS,rock fall-blocked hole
Comments,rock forming texture evidence; ka in durated
Comments,rock-forming texture present
Comments,rock fragments
Lith_Desc,Rock fragments
Lith_Desc,rock fragments ferruginous
Lith_Desc,Rock frags
Comments,Rock hard+ Diss mod  Mt. crushed zonde from 98m.
Comments,Rock hard with poor Mt.
Comments,Rock has a lot of pyrite. Intense deformation
Comments,rock has gruneritr porphyroblasts
Comments,"""ROCK HAS SAME MINERALOGY BUT APPEARS TO HAVE A MODERATE TO STRONG FABRIC, POSSIBLY A MARGINAL INTRUSIVE FABRIC ??"""
Comments,ROCK IDS CARBONATED AND COMMONLY MASSIVE
Comments,Rock is a lot fresher and band becoming prominent
Comments,ROCK IS DARK GREEN BLACK SIL ROCK (?SIL U) WITH GGROCK ALSO PRESENT (U) - EOH.
Comments,ROCK IS MAGNETIC
Comments,"""ROCK IS MAGNETIC, SMALL STRONGLY MAGNETIC VEINS"""
Lith_Desc,Rock is slightly coarser than St
Lith_Desc,"Rock is soapy, Talc,carb, chl"
Comments,"""rock moderately brx,  phenocrysts of magnetite &veins of mag"""
Comments,Rock rolled 0 to 18.2 to allow casing to be seated.  See log for MKD446.
Comments,Rock-rolled through colluvium
Comments,Rock rolled to allow casing to be seated.  See log for MKD446.
Comments,Rock-rolled top of hole
Comment,ROCKSAMPLE
Comment,ROCKSAMPLE43.7M
Comment,ROCKSAMPLE54.0-54.2
Lith_Desc,"Rocks are highly foliated,to"
comments,"""rock totally lateritised (white), foliated and with relics of chlorite"""
Comment,Rock type changing to FTO
Comment,"""Rock type largely the same, but  veining becomes lagely quartz, with sulphides (both PY and CPY) more common. Occasional epidote and plagioclase in veining. Possible haematite alteration in places (minro)"""
Comment,Rocktypes include slst and RHD
Comments,ROCK TYPE UNCERTAIN. CHALCOCITE PRESENT ????
Comment,"""r, oc to l gn rsp-ssm."""
Description,Rod blockage cleared; poor contaminated samples 
Comments,ROD CHANGE
Comment_2,ROD LIMIT- FOLIATED WEATH.MAFIC.
COMMENTS,rod pull @ 64m no sample
COMMENTS,rod pull to unblock
COMMENTS,"""RODS BECAME BOGGED, RELIEF HOLE DRILLED TO RETRIVE RODS, ABANDONED HOLE"""
Comments,"RODS BECAME BOGGED, RELIEF HOLE DRILLED TO RETRIVE RODS, ABANDONED HOLE"
Lith_Desc,rods bogged
Comments,"rods bogged, abandon hole after freeing rod sting"
COMMENTS,rods bogged - abd
Comments,Rods bogged by collapse at
Comment,"""rods bogged in hole-strongly fol & mod fract ground at EOH. Shifting or swelling ground grabbing rods, unable to free rods so blasted them off 15m behind the end of the barrel"""
Comments,"rods bogging, stop hole"
COMMENTs,RODS GETTING BOGGED EOH.
comments,Rodstring completely locked up.  12m rods recovered.
COMMENTS,Roller bit 65-69m in ironstone gravels
Comments,Roller bit pre-collar - no sample.
Description,ROLLERED
Comments,*ROLLERED*
Description,"""Rollered, Aci_D inferred to have begun around 43.5m"""
Comments,Rollered precollar - no sample.
Comments,Rollered precollar - no samples retrieved or logs taken.
Comments,roock fresher/more mnt
comments,++ rose coloured qtz (FeOx staining).
Lith_Desc,rose qtz
Lith_Desc,Rose qtz micas
Lith_Desc,Rose qtz phyllite micas
Comments,rose quartz veining
Comments,rotted gabbro
Comments,rotted schist
Comments,"""rotted, weathered, """
Comment,Rough fining up sequences of sdbx / hybx grading into sandy slst's / sdst and slst's. matrix around bx is weakly clt and si alt. Spo py replacing a few clasts I/p's. rare qtz in g'mass.
Comments,"Roughly planar and parallel to banding, TW  ~ 4cm"
Comments,"""roughout interval constitutes ~5% of interval; riebeckite and grunerite in sporadic zones 5cm wide; quartz vein breccias with enclaves of altered country rock,minor pyrite"""
Comments,Round chips composed of small round silica grains in cemented matrix; 
Comment,"""ROUNDED AND STRETCHED VARIABLY POR SI AND CLT CLASTS PARALLE STRONG FOLIATION, COMMON QZ"""
Comment,"""rounded and transluscent quartz eyes, abudant stretched chlorite  alt phenos"""
Comment,"""ROUNDED BALLS OF CLAY, APPLE GREEN COULOUR - FUCHSITE?"""
comments,Rounded cb-si nodules???
COMMENTS,Rounded channel gravels
Comments,Rounded CH breccia present
Major Desc,Rounded clasts of grc material w mc matrix.
Comment,"""ROUNDED CLASTS, SPOTTY CLT CLASTS, RARE ROUNDED CLASTS"""
Comment,"""ROUNDED CLT AND SI CLASTS, MOSTLY LESS THAN 12mm"""
Comment,"""ROUNDED CLT AND SI CLASTS, RARE RED 6mm JASPER CLASTS"""
COMMENTS,Rounded coarse nodular pisoliths
COMMENTS,Rounded cutanous nodular laterite
COMMENTS,Rounded cutanous pisoliths +/- tertiary clay
Comment,Rounded dgy-bl qz crystals
Comment,Rounded feldspars
Comments,Rounded Fe pisolith gravel +/- sand
Comments,rounded Fe-rich pisoliths ranging 5 - 20 mm
Comments,Rounded Fe stone pisoliths
Comments,ROUNDED GRAVEL
COMMENTS,Rounded iron pisoliths-becoming coarser
COMMENTS,Rounded iron rich gravel with cutans
COMMENTS,Rounded ironstone + ferruginous clays
Comments,Rounded laterite nodules (COL?)
COMMENTS,Rounded laterite nodules in clay
Comments,ROUNDED LAT PIS
Comments,Rounded nodular gravel - residual?
Comments,Rounded 'pea grained'
Comments,Rounded pea sized Fe pisolith gravel
Comments,Rounded pea size pisolith gravel
Description,Rounded/ pebble laterite (weakly magnetic)
Lith_Desc,rounded pisolites
Comments,ROUNDED PISOLITES CAUSING GRIEF
COMMENTS,Rounded pisolith gravel
Comments,Rounded pisolith ' pea gravel '
Comments,ROUNDED PISOLITHS
Comments,Rounded pisoliths - transported
Comments,ROUNDED PISOLITHS - TRANSPORTED
Comments,Rounded pisoliths - transported + nodular laterite
Comments,Rounded pisolitic Fe stone
COMMENTS,Rounded pisolitic gravel
COMMENTS,Rounded Piso's
Comment,"""Rounded Qtz, Alteration increasing downhole"""
Comments,ROUNDED QTZ FRAGMENTS TRANSPORTED?
COMMENTS,rounded qtz grains
Comment,"""ROUNDED QTZ, NO FELDSPAR PHENO'S"""
Comments,ROUNDED QUARTS GRAINS IN MATRIX
Comments,ROUNDED QUARTZ AND CLAYS
Comment,"""rounded quartz eyes, less abundant subhedral sericite altered phenocrysts"""
Comments,rounded qz
Lith_Desc,rounded qzgrains
Comment,"""ROUNDED QZ PHENOS 1-8mm, PALE YE WISPY INTERGROWN SE/CARB?"""
COMMENTS,rounded rock frags
Comments,ROUNDED SAND/GRAVEL - TRANSPORTED - BASAL DEPOSITS IN PALAEODRAINAGE
Comment,Rounded sdst and qtz in feo alt sap clays kadinitic sap clays w/ slst and sdst chips. Poss goss at 27m.
Comment,Rounded sdst and slst in saprolite clays
Comment,"""ROUNDED SI AND CLT CLASTS UP TO 15mm, PERVASIVE SI-SE ALT WITH CLT SPECKS"""
Comment,ROUNDED SI CLASTS IN CLT MATRIX
Comment,"""ROUNDED SI CLASTS IN PATCHY SE-CLT MATRIX, FOLIATION DEFINED BY CLT AND PY VEINING"""
Comment,ROUNDED SI GRAINS
Comment,"""rounded silica and chlorite clasts, alt bands, some QZ, specks of magnetite"""
COMMENTS,rounded Tertiary gravels
Comments,Rounded tertiary gravels + clays
COMMENTS,Rounded Tertiary ironstone gravels
COMMENTS,Rounded Tertiary ironstone gravels + sand
Comment,ROUNDED TO SUB ROUNDED AMY 1-3mm MINOR QBVN
Comment,"""Rounded to subrounded rarely ca altered QE, ca altered amygdales"""
COMMENTS,Rounded (transported?)
COMMENTS,Rounded transported coarse cutanous iron nodules
Comments,Rounded- transported Fe pisoliths
Comment,Rounded transported pebbles in clay grading into sap.clay.
COMMENTS,Rounded transported pisoliths
COMMENTS,Rounded-unconsolidated pisolith scree
COMMENTS,Rounded-unconsolidated pisolith scree -silcretized
COMMENTS,Round pisolith gravel
Comments,"""round , spotty text, possibly alt product of amphibole"""
Comment,"""R, PL, TO OC COL, RSP CLAYS."""
COMMENTS,R? = POSS X?
Description,RQD gradually increases over this interval
Comments,RQD% improving
Comments,"""RQD% improving, minor friable intervals present"""
Comments,RQD mod-high
Comment,Rreturn to fresh rock
Lith_Desc,Rr fe frags
Lith_Desc,Rr Fe frags
Lith_Desc,Rr ferrug frags
Lith_Desc,Rr Fldsp & mafic chips
Lith_Desc,Rr mg Mafic chips
Lith_Desc,Rr mg rock
Lith_Desc,Rr qz grains & lt br kaolin
Lith_Desc,Rr qz grains & pink kaolin
Lith_Desc,Rr qz grains & wh kaolin
Lith_Desc,Rr qz grains & yb kaolin
Lith_Desc,Rr qz grains & ye br kaolin
Comments,RR-SR pisolites + 20% Lump
LithDescription,Rrz
PRIM_DESCP,Rsc/Rsl
Gen_Desc1,RSED
PRIM_DESCP,Rsl
PRIM_DESCP,RsmGgb?
PRIM_DESCP,Rsp
PRIM_DESCP,Rsp?
Comment_2,RSP + 5%RSP-SEDIMENT-BEDDED.
COMMENTS,RSP = AA
COMMENTS,RSP? + AA
description,RSP = ALTN?
PRIM_DESCP,Rspamf
