0,1
Comments,                      
Comments,                       
Comments, -
Comment,-
Comments,?
Comments,?!
Comments,?????????
Comment,?)
Comment,.
Comments,"""                       ""                          "" "
Comments,"""                      ""                          ""                              ""                  """
COMMENTS,"""""""                       """"                          """""""
COMMENTS,"""""""                      """"                          """"                              """"                  """""""
Comment,""""""""""
Comments,""""""""""""""
Comments,)
Comments,*
Comments,0
Comments,0.01
Comments,0.05
Comments,"""0-0.6 hardpan,0.6-5.9 sandy clay"""
Comments,0.1
Comments,0-101 BLADE EOH 101M
Comment,"""0-10CM of colluvial gravel then mottled, hard (silcrete?) colours vary from whites, reds, oranges/browns. Textures vary b/n massive and clastic (up to 10cm)"""
Comments,0-11 HAMMER
Comments,0.15
Comments,0-16m missing core
Comment,0-19M.-HAMMER
Comments,0-1M Minor wash. Good pisolites
Description,"""0.1mm-scale fol. present: f/g Aan? Minor Avqt, CH bands and massive Abv intervals"""
Comment,<0.1M OF TRANS. COVER.
Comments,0-1M SMALL SPL;2-3M SMALL SPL
Comments,0-1 no sample
comments,0.1 po
comments,0.1 py
comments,0.1% py
Comments,0-1 Small spl
Comments,0.2
Comment,0 - 2.3M NOT SAMPLED
Comments,0.25
Comments,0-2M COLLUVIUM
Comments,0.2mm cubic magnetite crystals
Comment,<0.2M OF RSP CLAY.
Comment,"""0.2m QZ-MGN zone at top contact, MAS PY- intergrown spidery SI clasts and other sulfides"""
Comment,0.2m rhyodacite inclusion at 613m
Comment,0.2m SI ALT DAC INTERBED
Comment,0.2m siliceous brecciation zone at 626.3m
Comments,0-2m small samples
Comments,0.3
Comments,"""0.33 - 48.36m: Mostly white pearly talc which fully replaces primary mineralogy while preserving many primary rock textures(banding) and structures(mostly healed brecciation).  Fe oxides, where present, are found mostly on fracture surfaces or as weatheri"""
D_stLITHCOMMENTS,"0.33 - 48.36m: Mostly white pearly talc which fully replaces primary mineralogy while preserving many primary rock textures(banding) and structures(mostly healed brecciation).  Fe oxides, where present, are found mostly on fracture surfaces or as weatheri"
Comments,"""0.3m-1.2m st bl zones; py stckwk 100.1-100.85,111.7-111.85,114.3-114.58"""
Comments,0-3M COLLUVIUM
Comment,0.3m DLT INTRUSION NEAR BASAL CONTACT
Lith_Desc,0-3m maj.pisolitic
Comment,0.3m zone of abundant subrounded QZ/SI grains
Comments,0-3 no sample
Comments,"0%, 3 sandstone chips"
Comments,0.4
Comments,0-4 (30ppb) Au
Comment,0.4m BRECCIATED FLTZ FROM 1422.1m
Comments,0-4 M COLLUVIUM'
Comments,0-5°
Comments,0.5
Comments,*05052014 Changed from Asa to Auu*
Description,"""0.5-1cm bands, non/weakly magnetic Aci saprolite"""
Comment,0.5-1m DLT FINGERS THROUGH FSPH POST DAC
Comment,"""<0.5-1mm qtz, 1-2mm fspar"""
Comments,0.5-2mm material/silica-mn+ bnd
Comment,"""0.5-3mm f'spar, minor thin Carb veining"""
Comment,"""0.5-3mm generally euhedral f'spar & <5mm fsph clasts, chloritic wisps & patches accentuate foliation where present, trace of thin (1-3mm) generally Fe oxidised ca veins, 68m fsph & qzph clasts, 70m <6cm randomly oriented felsic clasts, 73-83.8m m grained"""
Comment,"""0.5-4mm well preserved f'spar, minor felsic clasts"""
Comments,<0.5% apy
Comments,0.5% CALCITE RHOMBS + TR SULPHIS
Comments,0.5cm qcbcp vein
Comment,"""0.5cm SC2 type quartz but looks like sediment, 502-502.6m quartz vein on contact"""
Comments,"""<0.5% fg disseminated sulphides (pyr, apy)"""
Comment,<0.5 g/t Au
Comment,0.5% interstitial Sp with Py
Lith_Desc,0.5L/sec freshish water
Comments,0.5m colluvium then bedrock
Comments,0.5m Core loss
D_stLITHCOMMENTS,0.5m core loss between core blocks 4.7 - 6.2m. Remnant textures + partly brecciated(healed)
Comment,0.5m cover.
Comment,"""<0.5m cover. o/c of tmmy close to  collar n-s strike, vert."""
Comments,"""<0.5% mgt, <0.5% sulphides (pyo)"""
Description,<0.5m intervals of Aaa and QT-FD schist present
Comment,0.5mm abundant Si spots
Comments,"0.5mm og carb. ""spots"""
Comments,0.5mm weathered py cubes
Comment,0.5m of cgv.
Comment,<0.5M OF CGV.
Comment,0.5m of cover.
Comment,<0.5M OF COVER.
Comment,<0.5M OF COVER._
Comment,"""<0.5M OF COVER. RSP, L GN/GY, FGN FOM, M"""
Comment,"""0.5m of cover rsp, l kh col, m"""
Comment,<0.5M OF CSA.
Comment,0.5m of trans. cover.
Comment,<0.5M OF TRANS. COVER.
Comment,0.5M OF TRANS. COVER
Comment,0.5M OF TRANS. COVER.
Comment,"""0.5m of trans. cover. rsp, gn/kh col."""
Comment,"""0.5m POST RHY ON TOP CONTACT, QTZ POOR"""
Lith_Desc,0.5m Qc
Comments,0-5m - recent alluvium
Comment,"""0.5m shearzone at contact, euhedral 2-5mm feldspar laths"""
Comments,0-5 M SOILS + CLAYS
Comments,"0.5m soil, then shales"
Comment,0.5m transported cover.
Comment,0.5m transported. Gn rsp-uv
Comment,"""0.5m transported. rsr-m gb, fgn, mas mkb."""
comments,0.5% po and py
comments,0.5py
comments,0.5 py
comments,0.5% py
comments,0.5% py and Jasperlitic and 30% qv 115-116
Comments,<0.5% return
Comments,<0.5% str qtz
Comments,<0.5% sulphides
Comments,"""<0.5% sulphides, mod silicifid"""
Comments,"""<0.5% sulphides, str qtz, blue fiberous min crocodilite??, T epd"""
Comment,0.5 trans cover.
Comments,0.6
Comments,0-6M PISOLITICS SOILS
Comment,"""0.7M CORE LOSS, BROKEN CORE"""
Comments,0.8
Comments,0-8m missing core
Comment,0-91M BLADE EOH
Comments,0 pen! sill in HWeathered schist. too hard?
COMMENTS,1
Comments,10
Comments,10%
Comments,"10%,"
Comments,100-111m lgn bleaching sodic altn?
Comments,"""100.2, silica flakes, snowy txt and py stains on fx's"""
Major Desc,1004m - 1004.44m: stronger fol and po py bands.
Comments,"100.57-100.82m: TW  ~ 3-4cm, cb selvedge (not alteration halo) - cb appears to be after talc. "
Comments,100.6 - 100.9m Magmatic chert  upper chilled margin.  Hematite alterated  broken undulating contact.  Akin to the Oxley chert.
Comments,100.6m Base of flow.
Comments,100.9 - 103.0m Fine cryst bands of vesicles.  Hematite alteration weak upper contact vesicles and matrix carbonaceous
Major Desc,1009.25m - 1009.4m: spotty texture overprinting fol. caused by cordierite blebs and associated ant. also ant tt.
description,100% BL AMPHIBOLES IN CORE.
Comments,~100% chips magnetic
Comments,"""~100% chips magnetic, approx. 2% lime green clay"""
Comments,"""~100% chips magnetic, approx. GO end, HM start"""
comments,100% chlorite alteration in the ultramafics
Comments,100cm CL - bleached alu ?
Comments,100% core loss 63.5-65.8m run
Comments,"100%, hard, magnetic"
Lith_Desc,100% Ka
Lith_Desc,100% Ka Micaceous
Comments,100% mafic volcanic
Comment,100mm band of hyaloclastite (?) near base of unit
Comment,100mm chilled margins
Comment,100mm QZ VEIN AT UPPER CONTACT
Comment,"""<100mm siliceous & <50mm qz-rich clasts, clt-qz-se altered, 588-588.3m siliceous cherty zones"""
Comments,100 PC KAOL + RESISTATE QTZ
comments,100% qtz veining
Comments,100% QzPy
Comments,"100% recovery, brown to honey brown chert"
Comments,100% SAND
Comment,"""100s OF BREAKS PER RUN, BROKEN ZONE OF SLST AND DLT, LITHO CONTACT DIFF TO DEFINE"""
LITH COMMENT,"""100% tlc,wh(10mmchips),weathered(oxides yellow)"""
Comment,100 to 300 mm strong to moderately Clt altered chilled margins
Comments,"100% Vqt  alteration halo, 173.4 > 173.75m"
Comments,1010ppm 36l/pm @84m
COMMENTS,10-13 hammer
Comments,10-155 clear to grey chert chips
Comments,10-15% aegerine seams
Comments,10-15% BIF bands
Comments,10-15% coarse muscovite
Comments,10-15% cream cherty-clay bands
Lith_Desc,10-15% fe frags+3% fe qz
Lith_Desc,10-15% fe frags+5% fe qz
Lith_Desc,10-15% fe frags(fg mafic)
Lith_Desc,10-15% ferr. frags
Comments,10-15% hm
Comments,10-15% muscovite
Comments,1015ppm 120l/pm @ 96m
Comments,1015ppm 42l/pm @ 96m
comments,10-15% py/cpy/po
Comments,10-15% pyrite
Comments,10-15% pyrite disseminations and blebs 
Comments,"""10-15% pyrrhotite as wispy veinlets, disseminations and replacements; last metre has several quartzite beds to 4cm wide EOH=321.6m"""
comments,10-15% white qtz veining with minor sericite.
Comments,10-15% zinnwaldite
Comments,10-15% zinnwaldite; dominantly feldspar
comments,10-16m Pallid Zone
Comments,101.6 vertical qv 5mm no py
COMMENT,10 17.1-17.3
Comments,10-20% brn fractured & oxidised BIF
Comments,10;20% fine grained non;magnetic d.gy sediment. Minor py.
Comments,10-20% hematitic qtz vein
Comment,"""10-20mm clt altered clasts/patches, 1mm QPH, increased qz-ca veining near base of interval"""
Comments,1020ppm 40l/pm @ 108m
Comments,10 - 20% pyritic Vq
comments,10-20% qtz veining
Comments,10-20% qtz veining at low angle
Comments,10-25% BIF bands
Comments,1029ppm 100l/pm @ 108m
Comment,"""10.2M CORE LOSS, OPEN VUGS"""
Comments,103.0 - 104.0 Graphic texture with 3 - 4mm feldspar laths in microsyenite.  Hematite rich.
Comment,"""1030.7-1031.15 itv dacite amyg? In part, 1031.15- f-mg dolerite chilled throughout, dis euhedral pyr<2mm, irregular contact with DAC downhole"""
Major Desc,"""1036.35m - 1036.5m: mg wyf variant, posy narrow dolerite."""
Comments,103.7 > 104 flow top breccia.
Comments,103.7 = BOCO; traces dissem Py
comments,103.8-104.8m shear zone.
Comments,103.96-104.5m: Fine-medium grained subhedral pyrite disseminated and on fine fractures
Comments,104.0 - 107.6m Very gaseous 2 - 15mm vesicles with carbonate and minor vesicles with chlorite.  Hematite rich matrix.  Base of sequence homogenous with two bands of decreasing vesicle size.  Sparse small chloritic vesicles from 104-106m
Comments,10.5-22M QTZ PY FUCSITE ALTERATION  22-48.5M STRONG SHEARED PYRITE
Comments,105.28-105.43m
Comments,105.7 qv
Comment,"""10-60mm clasts, clasts boundaries diffuse (alteration?)"""
Description,10-60m: weakly banded siliceous magnetite BIF; no evident hematite alteration.
comments,106-108 chlorite alteration
Comments,106.14-106.37m: TW  ~ 2cm
comments,107-109 intensely foliated/schistose
COMMENTS,107-112 weak shear
Comments,10.7 - 13.4m Medium grained arenite.  Some hematite staining
Comments,107.6 - 112.0m Slightly blotchy crystalline fine cryst microsyenite.  Rare vesicle bands 3 - 5mm.  Matrix mildly carbonaceous.
Comment,107.8-108.4ax
Major Desc,1080.98-1081.35 has 20% cg gnt xl^.
Comments,"""108-108.6, mod silica alt"""
Comments,108 108.8 - SLT FX ZONE
Comments,108;109m wet sample.
Comment,"""1081.5-1083.4 FSPH-QZPH dacite, dis clots sphal, common subrdd qtz<2mm, clots mas pyr<30mm. 1083.4-VBX subrdd SI peb<30mm, str patchy CLT after clasts rare & small pebs down hole, larger more common sphal clots"""
Comments,"""108.3m,slickenside qtz fx,late stage,minor qtz stockworking around the vein"""
Comments,108.54-108.72m: Planar cb/talc vein TW ~ 2cm
Comment,1088.6-1089 Rhyolite
Comments,108.9 - 109.0m Moderately weathered trachyte with empty vesicles on granite contact.
Comments,109.0 - 109.3m Hematite alteration veins from contact  esp hematite alteration at contact.  Sediments absent  primary magmatic alteration.
Comments,109.3 - 118.8m Granite  slightly feldspathic  noting unusual
Comments,109.8 - 109.9 - fine disseminated py through rock and in veinlets
Comments,109m -Undulating contact of granite  no ori - some core spin
Lith_Desc,10% alteration.
COMMENTS,10% Aplite vein
Comments,"10% BIF, 155 pyrite"
Comments,<10% Bim in fresh amphibolitic felsics.  Not ore.
Comments,"""10% bi, weak ptygmatc qz vn/small 0.5cm. Abundant"""
Lith_Desc,10% black chert
comments,~10% breccia
Comments,~10% bright red jasperlite fragments(BIF??)
Lith_Desc,10% brown chert
LITH COMMENT,"""10% brown-yellow chip, dlst traces, dark blue"""
Comments,+ 10% BV.Conv.hammer x/o
LITH COMMENT,10% CALCITE
Comments,10% Carbonate
Lith_Desc,10% carbonates
Comments,10% cherth chips
