CollarID,HoleId,Longitude,Latitude,RL,MaxDepth,X,Y,
271193,78069Desert Gold ProjectDGRC001,121.678000,-21.039300,NAN,57,986455.513002,7666362.453149,
271195,78069Desert Gold ProjectDGRC003,121.666000,-21.039100,NAN,166,985206.242237,7666421.315696,
271197,78069Desert Gold ProjectDGRC005,121.681000,-21.038000,NAN,184,986772.235678,7666497.504601,
993857,80282North08HHDRC001,121.320000,-21.035000,240.218,202,949185.826369,7667892.568644,
993858,80282North08HHDRC002,121.316000,-21.033500,238.127,150,948773.831550,7668070.219275,
993859,80282North08HHDRC003,121.324000,-21.036500,237.146,157,949597.814097,7667714.906148,
993860,80282North08HHDRC004,121.321000,-21.039500,238.569,192,949276.414412,7667390.655659,
993861,80282North08HHDRC005,121.325000,-21.039500,237.308,103,949692.905294,7667379.352121,
1114577,81547Desert Gold ProjectDGRC002,121.667000,-21.039100,NAN,104,985310.401850,7666418.263271,
1114579,81547Desert Gold ProjectDGRC004,121.680000,-21.037500,NAN,172,986669.704068,7666556.040908,
1114585,81547Desert Gold ProjectDGRC010,121.685000,-21.037700,NAN,202,987189.863796,7666518.536876,
1399612,85094North08HHDRC001,121.320000,-21.035000,240.218,180,949185.826369,7667892.568644,
1399613,85094North08HHDRC002,121.316000,-21.033500,238.127,150,948773.831550,7668070.219275,
1399614,85094North08HHDRC003,121.324000,-21.036500,237.146,157,949597.814097,7667714.906148,
1399615,85094North08HHDRC004,121.321000,-21.039500,238.569,192,949276.414412,7667390.655659,
1399616,85094North08HHDRC005,121.325000,-21.039500,237.308,103,949692.905294,7667379.352121,
1638906,87101Desert Gold ProjectDGRC002,121.667000,-21.039100,NAN,104,985310.401850,7666418.263271,
1638908,87101Desert Gold ProjectDGRC004,121.680000,-21.037500,NAN,172,986669.704068,7666556.040908,
1638914,87101Desert Gold ProjectDGRC010,121.685000,-21.037700,NAN,202,987189.863796,7666518.536876,
3130277,85860CitadelANK104,121.961000,-21.032000,257,NAN,1015962.781505,7666280.183458,
