Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,
141,1399615,65,66.0,Ncl,Clay loams and Clay,mud,101,
141,993857,49,50.0,Ncl,Clay loams and Clay,mud,101,
141,993859,149,150.0,Sd,Dolomite,dolostone,100,
141,993859,4,5.0,Nnd,Sand,bioclastic,101,
141,993859,4,5.0,Nnd,Sand,bioclastic,101,
141,993860,146,147.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,146,147.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399616,56,57.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,56,57.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,46,47.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,46,47.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,181,182.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,181,182.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,185,186.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,185,186.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,149,150.0,Sd,Dolomite,dolostone,100,
141,1399614,116,117.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,116,117.0,Ncl,Clay loams and Clay,mud,101,
141,993857,168,169.0,Sd,Dolomite,dolostone,100,
141,993861,97,98.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,993861,97,98.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,993860,76,77.0,Ncl,Clay loams and Clay,mud,101,
141,993860,76,77.0,Ncl,Clay loams and Clay,mud,101,
141,993857,168,169.0,Sd,Dolomite,dolostone,100,
141,1399615,146,147.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,170,171.0,Sd,Dolomite,dolostone,100,
141,1399615,108,109.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,108,109.0,Ncl,Clay loams and Clay,mud,101,
141,993860,41,42.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,127,128.0,Sd,Dolomite,dolostone,100,
141,1399613,127,128.0,Sd,Dolomite,dolostone,100,
141,993860,41,42.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,91,92.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,24,25.0,Nnd,Sand,bioclastic,101,
141,1399612,24,25.0,Nnd,Sand,bioclastic,101,
141,1399612,91,92.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,93,94.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,93,94.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,993858,40,41.0,S,Unclassified Sediments,sediment,101,
141,993858,62,63.0,Ncl,Clay loams and Clay,mud,101,
141,993858,62,63.0,Ncl,Clay loams and Clay,mud,101,
141,993858,144,145.0,Sd,Dolomite,dolostone,100,
141,993858,144,145.0,Sd,Dolomite,dolostone,100,
141,1399615,60,61.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,60,61.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,67,68.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,67,68.0,Ncl,Clay loams and Clay,mud,101,
141,993858,40,41.0,S,Unclassified Sediments,sediment,101,
141,993858,140,141.0,Sd,Dolomite,dolostone,100,
141,1399612,131,132.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,131,132.0,Shcc,Carbonaceous shale,mudstone,101,
141,993858,140,141.0,Sd,Dolomite,dolostone,100,
141,1399616,5,6.0,Nnd,Sand,bioclastic,101,
141,993860,131,132.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,131,132.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399613,65,66.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,65,66.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,5,6.0,Nnd,Sand,bioclastic,101,
141,993857,52,53.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,26,27.0,Nnd,Sand,bioclastic,101,
141,1399616,26,27.0,Nnd,Sand,bioclastic,101,
141,1399616,23,24.0,Nnd,Sand,bioclastic,101,
141,1399616,23,24.0,Nnd,Sand,bioclastic,101,
141,1399616,33,34.0,Nnd,Sand,bioclastic,101,
141,1399616,33,34.0,Nnd,Sand,bioclastic,101,
141,993859,14,15.0,Nnd,Sand,bioclastic,101,
141,993857,52,53.0,Ncl,Clay loams and Clay,mud,101,
141,993860,101,102.0,Ncl,Clay loams and Clay,mud,101,
141,993860,101,102.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,90,91.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,90,91.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399612,69,70.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,51,52.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,51,52.0,Ncl,Clay loams and Clay,mud,101,
141,993859,7,8.0,Nnd,Sand,bioclastic,101,
141,993859,7,8.0,Nnd,Sand,bioclastic,101,
141,1399615,154,155.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,154,155.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,123,124.0,Sd,Dolomite,dolostone,100,
141,993859,123,124.0,Sd,Dolomite,dolostone,100,
141,1399612,69,70.0,Ncl,Clay loams and Clay,mud,101,
141,993859,44,45.0,Ncl,Clay loams and Clay,mud,101,
141,993859,44,45.0,Ncl,Clay loams and Clay,mud,101,
141,993858,134,135.0,Sd,Dolomite,dolostone,100,
141,1399615,99,100.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,99,100.0,Ncl,Clay loams and Clay,mud,101,
141,993860,129,130.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,129,130.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,132,133.0,Ncl,Clay loams and Clay,mud,101,
141,993860,132,133.0,Ncl,Clay loams and Clay,mud,101,
141,993858,134,135.0,Sd,Dolomite,dolostone,100,
141,993857,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,993857,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,67,68.0,Ng,Gravel,gravel,101,
141,1399616,67,68.0,Ng,Gravel,gravel,101,
141,993858,109,110.0,Sd,Dolomite,dolostone,100,
141,993858,109,110.0,Sd,Dolomite,dolostone,100,
141,993858,14,15.0,Nnd,Sand,bioclastic,101,
141,993858,14,15.0,Nnd,Sand,bioclastic,101,
141,993859,26,27.0,Nnd,Sand,bioclastic,101,
141,1399613,66,67.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,66,67.0,Ncl,Clay loams and Clay,mud,101,
141,993859,122,123.0,Sd,Dolomite,dolostone,100,
141,993859,122,123.0,Sd,Dolomite,dolostone,100,
141,993857,33,34.0,Nnd,Sand,bioclastic,101,
141,993857,33,34.0,Nnd,Sand,bioclastic,101,
141,993858,34,35.0,Ncl,Clay loams and Clay,mud,101,
141,993858,34,35.0,Ncl,Clay loams and Clay,mud,101,
141,993858,101,102.0,Shcc,Carbonaceous shale,mudstone,101,
141,993858,101,102.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,175,176.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,175,176.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,26,27.0,Nnd,Sand,bioclastic,101,
141,993857,165,166.0,Ssl,Siltstone/Argillite,mudstone,101,
141,993859,74,75.0,Ncl,Clay loams and Clay,mud,101,
141,993859,74,75.0,Ncl,Clay loams and Clay,mud,101,
141,993857,165,166.0,Ssl,Siltstone/Argillite,mudstone,101,
141,993858,2,3.0,Nnd,Sand,bioclastic,101,
141,993861,86,87.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,993861,86,87.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,993857,78,79.0,Ncl,Clay loams and Clay,mud,101,
141,993857,78,79.0,Ncl,Clay loams and Clay,mud,101,
141,993857,147,148.0,Shcc,Carbonaceous shale,mudstone,101,
