"id","holeid","anumber","companyholeid","dataset","companyid","longitude","latitude","istransformed","modifieddate","modifiedby","mrtfileid","holetype","maxdepth","geom"
153802,"69189Minjar NorthSSRC007",69189,"SSRC007","Minjar North",3049,"116.949","-28.9058",True,NULL,NULL,5252,"RC","127","0101000020E610000000000000C33C5D4000000000E0E73CC0"
153803,"69189Minjar NorthSSRC008",69189,"SSRC008","Minjar North",3049,"116.949","-28.9058",True,NULL,NULL,5252,"RC","130","0101000020E6100000000000C0C23C5D4000000020E0E73CC0"
153804,"69189Minjar NorthSSRC009",69189,"SSRC009","Minjar North",3049,"116.949","-28.9058",True,NULL,NULL,5252,"RC","120","0101000020E610000000000000C23C5D4000000040E0E73CC0"
153813,"69189Minjar NorthSSRC019",69189,"SSRC019","Minjar North",3049,"116.949","-28.9065",True,NULL,NULL,5252,"RC","174","0101000020E610000000000040C03C5D40000000E00FE83CC0"
153816,"69189Minjar NorthSSRC022",69189,"SSRC022","Minjar North",3049,"116.949","-28.9068",True,NULL,NULL,5252,"RC","146","0101000020E610000000000080C23C5D400000004027E83CC0"
153834,"69189Minjar NorthSSRC047",69189,"SSRC047","Minjar North",3049,"116.949","-28.9047",True,NULL,NULL,5252,"RC","144","0101000020E6100000000000E0BE3C5D40000000C099E73CC0"
153835,"69189Minjar NorthSSRC048",69189,"SSRC048","Minjar North",3049,"116.949","-28.9041",True,NULL,NULL,5252,"RC","150","0101000020E610000000000040BE3C5D400000004076E73CC0"
548917,"76539LodestoneLSC001",76539,"LSC001","Lodestone",3050,"117.146","-29.4044",True,NULL,NULL,16198,"RC","214","0101000020E6100000000000E05D495D40000000E086673DC0"
548918,"76539LodestoneLSC002",76539,"LSC002","Lodestone",3050,"117.148","-29.4044",True,NULL,NULL,16198,"RC","198","0101000020E6100000000000A07F495D40000000C086673DC0"
548919,"76539LodestoneLSC008",76539,"LSC008","Lodestone",3050,"117.148","-29.4405",True,NULL,NULL,16198,"RC","250","0101000020E61000000000008080495D40000000E0C4703DC0"
548920,"76539LodestoneLSC009",76539,"LSC009","Lodestone",3050,"117.144","-29.4188",True,NULL,NULL,16198,"RC","250","0101000020E6100000000000C03C495D4000000020396B3DC0"
548921,"76539LodestoneLSC012",76539,"LSC012","Lodestone",3050,"117.148","-29.4116",True,NULL,NULL,16198,"RC","252","0101000020E6100000000000C07F495D400000000060693DC0"
548922,"76539LodestoneLSC013",76539,"LSC013","Lodestone",3050,"117.146","-29.4116",True,NULL,NULL,16198,"RC","240","0101000020E6100000000000205E495D400000002061693DC0"
548924,"76539LodestoneLSD004",76539,"LSD004","Lodestone",3050,"117.153","-29.4261",True,NULL,NULL,16198,"DD","198.4","0101000020E6100000000000C0C7495D4000000000126D3DC0"
548925,"76539LodestoneLSD005",76539,"LSD005","Lodestone",3050,"117.151","-29.4261",True,NULL,NULL,16198,"DD","353.2","0101000020E610000000000040A2495D4000000080126D3DC0"
724523,"77590KararaSNC002",77590,"SNC002","Karara",3050,"116.936","-28.8493",True,NULL,NULL,20684,"RC","120","0101000020E6100000000000C0EE3B5D40000000A068D93CC0"
724525,"77590KararaSNC004",77590,"SNC004","Karara",3050,"116.936","-28.8512",True,NULL,NULL,20684,"RC","108","0101000020E6100000000000A0EE3B5D40000000E0E5D93CC0"
724526,"77590KararaSNC005",77590,"SNC005","Karara",3050,"116.937","-28.8512",True,NULL,NULL,20684,"RC","114","0101000020E610000000000020F73B5D4000000000E6D93CC0"
724529,"77590KararaSNC008",77590,"SNC008","Karara",3050,"116.937","-28.853",True,NULL,NULL,20684,"RC","133","0101000020E6100000000000A0FF3B5D40000000605EDA3CC0"
724530,"77590KararaSNC009",77590,"SNC009","Karara",3050,"116.937","-28.8546",True,NULL,NULL,20684,"RC","120","0101000020E610000000000000F73B5D4000000000C8DA3CC0"
792942,"73744Minjar SouthMKC143",73744,"MKC143","Minjar South",3050,"116.787","-29.1721",True,NULL,NULL,22455,"RC","160","0101000020E6100000000000405F325D40000000200F2C3DC0"
792943,"73744Minjar SouthMKC144",73744,"MKC144","Minjar South",3050,"116.787","-29.1724",True,NULL,NULL,22455,"RC","240","0101000020E61000000000000065325D4000000060242C3DC0"
792948,"73744Minjar SouthMKC152",73744,"MKC152","Minjar South",3050,"116.788","-29.1677",True,NULL,NULL,22455,"RC","222","0101000020E6100000000000C06B325D40000000A0ED2A3DC0"
792949,"73744Minjar SouthMKC154",73744,"MKC154","Minjar South",3050,"116.778","-29.187",True,NULL,NULL,22455,"RC","292","0101000020E610000000000000C3315D4000000020DF2F3DC0"
792950,"73744Minjar SouthMKC155",73744,"MKC155","Minjar South",3050,"116.779","-29.1881",True,NULL,NULL,22455,"RC","148","0101000020E610000000000080DB315D400000002027303DC0"
792951,"73744Minjar SouthMKC156",73744,"MKC156","Minjar South",3050,"116.779","-29.1878",True,NULL,NULL,22455,"RC","196","0101000020E6100000000000A0D5315D400000004015303DC0"
792952,"73744Minjar SouthMKW029",73744,"MKW029","Minjar South",3050,"116.778","-29.1794",True,NULL,NULL,22455,"RC","122","0101000020E610000000000060CA315D4000000000ED2D3DC0"
792957,"73744Minjar SouthMKW039",73744,"MKW039","Minjar South",3050,"116.779","-29.1802",True,NULL,NULL,22455,"RC","132","0101000020E610000000000040D9315D40000000A01E2E3DC0"
827751,"69916Mount MulgineBMRC102",69916,"BMRC102","Mount Mulgine",3050,"116.966","-29.1687",True,NULL,NULL,23816,"RC","114","0101000020E6100000000000C0CD3D5D40000000402E2B3DC0"
