"id","collarid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid"
"1769961",153802,"Elevation","359.251",NULL,NULL,116852
"1769962",153802,"TD","127",NULL,NULL,116853
"1769963",153802,"Drilling_code","RC",NULL,NULL,116854
"1769964",153802,"Tenement","M59/421",NULL,NULL,116855
"1769965",153802,"Drill_Date","30-Nov-03",NULL,NULL,116856
"1770087",153816,"Elevation","359.737",NULL,NULL,116852
"1769966",153802,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1769967",153802,"HoleDiam","135mm",NULL,NULL,116858
"1769968",153802,"PSI","300",NULL,NULL,116859
"1769969",153802,"Prospect","Silverstone",NULL,NULL,116861
"1769970",153803,"Elevation","359.132",NULL,NULL,116852
"1769971",153803,"TD","130",NULL,NULL,116853
"1769972",153803,"Drilling_code","RC",NULL,NULL,116854
"1769973",153803,"Tenement","M59/421",NULL,NULL,116855
"1769974",153803,"Drill_Date","30-Nov-03",NULL,NULL,116856
"1769975",153803,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1769976",153803,"HoleDiam","135mm",NULL,NULL,116858
"1769977",153803,"PSI","300",NULL,NULL,116859
"1769978",153803,"Prospect","Silverstone",NULL,NULL,116861
"1769979",153804,"Elevation","359.122",NULL,NULL,116852
"1769980",153804,"TD","120",NULL,NULL,116853
"1769981",153804,"Drilling_code","RC",NULL,NULL,116854
"1769982",153804,"Tenement","M59/421",NULL,NULL,116855
"1769983",153804,"Drill_Date","01-Dec-03",NULL,NULL,116856
"1769984",153804,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1769985",153804,"HoleDiam","135mm",NULL,NULL,116858
"1769986",153804,"PSI","300",NULL,NULL,116859
"1769987",153804,"Prospect","Silverstone",NULL,NULL,116861
"1770060",153813,"Elevation","359.387",NULL,NULL,116852
"1770061",153813,"TD","174",NULL,NULL,116853
"1770062",153813,"Drilling_code","RC",NULL,NULL,116854
"1770063",153813,"Tenement","M59/421",NULL,NULL,116855
"1770064",153813,"Drill_Date","05-Dec-03",NULL,NULL,116856
"1770065",153813,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1770066",153813,"HoleDiam","135mm",NULL,NULL,116858
"1770067",153813,"PSI","300",NULL,NULL,116859
"1770068",153813,"Prospect","Silverstone",NULL,NULL,116861
"1770088",153816,"TD","146",NULL,NULL,116853
"1770089",153816,"Drilling_code","RC",NULL,NULL,116854
"1770090",153816,"Tenement","M59/421",NULL,NULL,116855
"1770091",153816,"Drill_Date","06-Dec-03",NULL,NULL,116856
"1770092",153816,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1770093",153816,"HoleDiam","135mm",NULL,NULL,116858
"1770094",153816,"PSI","300",NULL,NULL,116859
"1770095",153816,"Prospect","Silverstone",NULL,NULL,116861
"1770249",153834,"Elevation","358.549",NULL,NULL,116852
"1770250",153834,"TD","144",NULL,NULL,116853
"1770251",153834,"Drilling_code","RC",NULL,NULL,116854
"1770252",153834,"Tenement","M59/421",NULL,NULL,116855
"1770253",153834,"Drill_Date","07-Dec-03",NULL,NULL,116856
"1770254",153834,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1770255",153834,"HoleDiam","135mm",NULL,NULL,116858
"1770256",153834,"PSI","300",NULL,NULL,116859
"1770257",153834,"Prospect","Silverstone",NULL,NULL,116861
"1770258",153835,"Elevation","358.533",NULL,NULL,116852
"1770259",153835,"TD","150",NULL,NULL,116853
"1770260",153835,"Drilling_code","RC",NULL,NULL,116854
"1770261",153835,"Tenement","M59/421",NULL,NULL,116855
"1770262",153835,"Drill_Date","06-Dec-03",NULL,NULL,116856
"1770263",153835,"Drilling_Company","""Layne Drilling Pty. Ltd., Perth""",NULL,NULL,116857
"1770264",153835,"HoleDiam","135mm",NULL,NULL,116858
"1770265",153835,"PSI","300",NULL,NULL,116859
"1770266",153835,"Prospect","Silverstone",NULL,NULL,116861
"6727010",548917,"Drill_code","RC",NULL,NULL,372969
"6727011",548917,"Total_depth","214",NULL,NULL,372970
"6727012",548917,"Elevation","331.316",NULL,NULL,372973
"6727013",548917,"Lease_ID","E59/1002",NULL,NULL,372974
"6727014",548917,"Date_Complete","03-Jul-07",NULL,NULL,372975
"6727015",548917,"Drill_contractor","Strange",NULL,NULL,372976
"6727016",548918,"Drill_code","RC",NULL,NULL,372969
"6727017",548918,"Total_depth","198",NULL,NULL,372970
"6727018",548918,"Elevation","321.677",NULL,NULL,372973
"6727019",548918,"Lease_ID","E59/1002",NULL,NULL,372974
"6727020",548918,"Date_Complete","06-Jul-07",NULL,NULL,372975
"6727021",548918,"Drill_contractor","Strange",NULL,NULL,372976
"6727022",548919,"Drill_code","RC",NULL,NULL,372969
"6727023",548919,"Total_depth","250",NULL,NULL,372970
"6727024",548919,"Elevation","357.628",NULL,NULL,372973
"6727025",548919,"Lease_ID","E59/1002",NULL,NULL,372974
"6727026",548919,"Date_Complete","10-Jul-07",NULL,NULL,372975
"6727027",548919,"Drill_contractor","Strange",NULL,NULL,372976
"6727028",548920,"Drill_code","RC",NULL,NULL,372969
"6727029",548920,"Total_depth","250",NULL,NULL,372970
"6727030",548920,"Elevation","351.116",NULL,NULL,372973
"6727031",548920,"Lease_ID","E59/1002",NULL,NULL,372974
"6727032",548920,"Date_Complete","15-Jul-07",NULL,NULL,372975
"6727033",548920,"Drill_contractor","Strange",NULL,NULL,372976
"6727034",548921,"Drill_code","RC",NULL,NULL,372969
"6727035",548921,"Total_depth","252",NULL,NULL,372970
"6727036",548921,"Elevation","323.555",NULL,NULL,372973
"6727037",548921,"Lease_ID","E59/1002",NULL,NULL,372974
"6727038",548921,"Date_Complete","03-Aug-07",NULL,NULL,372975
"6727039",548921,"Drill_contractor","Strange",NULL,NULL,372976
"6727040",548922,"Drill_code","RC",NULL,NULL,372969
"6727041",548922,"Total_depth","240",NULL,NULL,372970
"6727042",548922,"Elevation","325.607",NULL,NULL,372973
"6727043",548922,"Lease_ID","E59/1002",NULL,NULL,372974
"6727044",548922,"Date_Complete","11-Aug-07",NULL,NULL,372975
"6727045",548922,"Drill_contractor","Strange",NULL,NULL,372976
"6727052",548924,"Drill_code","RCD",NULL,NULL,372969
"6727053",548924,"Total_depth","198.4",NULL,NULL,372970
"6727054",548924,"Elevation","347.521",NULL,NULL,372973
"6727055",548924,"Lease_ID","E59/1002",NULL,NULL,372974
"6727056",548924,"Date_Complete","08-Aug-07",NULL,NULL,372975
"6727057",548924,"Drill_contractor","Mt Magnet",NULL,NULL,372976
"6727058",548925,"Drill_code","RCD",NULL,NULL,372969
"6727059",548925,"Total_depth","353.2",NULL,NULL,372970
"6727060",548925,"Elevation","356.657",NULL,NULL,372973
"6727061",548925,"Lease_ID","E59/1002",NULL,NULL,372974
"6727062",548925,"Date_Complete","02-Aug-07",NULL,NULL,372975
"6727063",548925,"Drill_contractor","Mt Magnet",NULL,NULL,372976
"8851805",724523,"Drill_code","RC",NULL,NULL,471825
"8851806",724523,"Total_depth","120",NULL,NULL,471826
"8851807",724523,"Elevation","398.907",NULL,NULL,471829
"8851808",724523,"Lease_ID","E59/887",NULL,NULL,471830
"8851809",724523,"Date_Complete","03-Oct-07",NULL,NULL,471831
"8851810",724523,"Drill_contractor","Strange",NULL,NULL,471832
"8851817",724525,"Drill_code","RC",NULL,NULL,471825
"8851818",724525,"Total_depth","108",NULL,NULL,471826
"8851819",724525,"Elevation","409.395",NULL,NULL,471829
"8851820",724525,"Lease_ID","E59/887",NULL,NULL,471830
"8851821",724525,"Date_Complete","05-Oct-07",NULL,NULL,471831
"8851822",724525,"Drill_contractor","Strange",NULL,NULL,471832
"8851823",724526,"Drill_code","RC",NULL,NULL,471825
"8851824",724526,"Total_depth","114",NULL,NULL,471826
"8851825",724526,"Elevation","406.627",NULL,NULL,471829
"8851826",724526,"Lease_ID","E59/887",NULL,NULL,471830
"8851827",724526,"Date_Complete","05-Oct-07",NULL,NULL,471831
"8851828",724526,"Drill_contractor","Strange",NULL,NULL,471832
"8851841",724529,"Drill_code","RC",NULL,NULL,471825
"8851842",724529,"Total_depth","133",NULL,NULL,471826
"8851843",724529,"Elevation","404.672",NULL,NULL,471829
"8851844",724529,"Lease_ID","E59/887",NULL,NULL,471830
"8851845",724529,"Date_Complete","07-Oct-07",NULL,NULL,471831
"8851846",724529,"Drill_contractor","Strange",NULL,NULL,471832
"8851847",724530,"Drill_code","RC",NULL,NULL,471825
"8851848",724530,"Total_depth","120",NULL,NULL,471826
"8851849",724530,"Elevation","404.351",NULL,NULL,471829
"8851850",724530,"Lease_ID","E59/887",NULL,NULL,471830
"8851851",724530,"Date_Complete","07-Oct-07",NULL,NULL,471831
"8851852",724530,"Drill_contractor","Strange",NULL,NULL,471832
"9597660",792942,"RL","366.147",NULL,NULL,511733
"9597661",792942,"Depth (m)","160",NULL,NULL,511734
"9597662",792942,"MGA Azimuth","317.80",NULL,NULL,511735
"9597663",792942,"Dip","-59.59",NULL,NULL,511736
"9597664",792942,"Drill Type","RC",NULL,NULL,511737
"9597665",792942,"Grid","""GDA94, MGA50""",NULL,NULL,511738
"9597666",792942,"Drilling Company","""Strange Drilling, Kalgoorlie""",NULL,NULL,511739
"9597667",792942,"Date Completed","13/05/06",NULL,NULL,511740
"9597668",792943,"RL","364.021",NULL,NULL,511733
"9597669",792943,"Depth (m)","240",NULL,NULL,511734
"9597670",792943,"MGA Azimuth","317.60",NULL,NULL,511735
"9597671",792943,"Dip","-59.70",NULL,NULL,511736
"9597672",792943,"Drill Type","RC",NULL,NULL,511737
"9597673",792943,"Grid","""GDA94, MGA50""",NULL,NULL,511738
"9597674",792943,"Drilling Company","""Strange Drilling, Kalgoorlie""",NULL,NULL,511739
"9597675",792943,"Date Completed","15/05/06",NULL,NULL,511740
"9597708",792948,"RL","400.745",NULL,NULL,511733
"9597709",792948,"Depth (m)","222",NULL,NULL,511734
"9597710",792948,"MGA Azimuth","317.10",NULL,NULL,511735
"9597711",792948,"Dip","-60.31",NULL,NULL,511736
"9597712",792948,"Drill Type","RC",NULL,NULL,511737
"9597713",792948,"Grid","""GDA94, MGA50""",NULL,NULL,511738
"9597714",792948,"Drilling Company","""Strange Drilling, Kalgoorlie""",NULL,NULL,511739
"9597715",792948,"Date Completed","21/05/06",NULL,NULL,511740
"9597716",792949,"RL","369.148",NULL,NULL,511733
"9597717",792949,"Depth (m)","292",NULL,NULL,511734
"9597718",792949,"MGA Azimuth","140.60",NULL,NULL,511735
"9597719",792949,"Dip","-58.15",NULL,NULL,511736
"9597720",792949,"Drill Type","RC",NULL,NULL,511737
"9597721",792949,"Grid","""GDA94, MGA50""",NULL,NULL,511738
"9597722",792949,"Drilling Company","""Grimwood Davies Pty. Ltd., Kewdale, Perth""",NULL,NULL,511739
"9597723",792949,"Date Completed","29/05/06",NULL,NULL,511740
"9597724",792950,"RL","362.270",NULL,NULL,511733
"9597725",792950,"Depth (m)","148",NULL,NULL,511734
"9597726",792950,"MGA Azimuth","136.50",NULL,NULL,511735
"9597727",792950,"Dip","-58.94",NULL,NULL,511736
"9597728",792950,"Drill Type","RC",NULL,NULL,511737
"9597729",792950,"Grid","""GDA94, MGA50""",NULL,NULL,511738
"9597730",792950,"Drilling Company","""Grimwood Davies Pty. Ltd., Kewdale, Perth""",NULL,NULL,511739
"9597731",792950,"Date Completed","29/05/06",NULL,NULL,511740
"9597732",792951,"RL","362.327",NULL,NULL,511733
"9597733",792951,"Depth (m)","196",NULL,NULL,511734
"9597734",792951,"MGA Azimuth","137.60",NULL,NULL,511735
"9597735",792951,"Dip","-59.63",NULL,NULL,511736
"9597736",792951,"Drill Type","RC",NULL,NULL,511737
"9597737",792951,"Grid","""GDA94, MGA50""",NULL,NULL,511738
