id,collarid,fromdepth,todepth,units,accuracy,modifieddate,modifiedby,mrtfileid
2537823,153803,59,61,NULL,NULL,NULL,NULL,5255
2537824,153803,61,62,NULL,NULL,NULL,NULL,5255
2537825,153803,62,69,NULL,NULL,NULL,NULL,5255
2537826,153803,69,72,NULL,NULL,NULL,NULL,5255
2537827,153803,72,73,NULL,NULL,NULL,NULL,5255
2537828,153803,73,75,NULL,NULL,NULL,NULL,5255
2537829,153803,75,84,NULL,NULL,NULL,NULL,5255
2537830,153803,84,90,NULL,NULL,NULL,NULL,5255
2537831,153803,90,93,NULL,NULL,NULL,NULL,5255
2537832,153803,93,96,NULL,NULL,NULL,NULL,5255
2537833,153803,96,97,NULL,NULL,NULL,NULL,5255
2537834,153803,97,100,NULL,NULL,NULL,NULL,5255
2537835,153803,100,103,NULL,NULL,NULL,NULL,5255
2537836,153803,103,104,NULL,NULL,NULL,NULL,5255
2537765,153802,0,3,NULL,NULL,NULL,NULL,5255
2537766,153802,3,6,NULL,NULL,NULL,NULL,5255
2537767,153802,6,11,NULL,NULL,NULL,NULL,5255
2537768,153802,11,16,NULL,NULL,NULL,NULL,5255
2537769,153802,16,22,NULL,NULL,NULL,NULL,5255
2537770,153802,22,24,NULL,NULL,NULL,NULL,5255
2537771,153802,24,33,NULL,NULL,NULL,NULL,5255
2537772,153802,33,37,NULL,NULL,NULL,NULL,5255
2537773,153802,37,41,NULL,NULL,NULL,NULL,5255
2537774,153802,41,44,NULL,NULL,NULL,NULL,5255
2537775,153802,44,45,NULL,NULL,NULL,NULL,5255
2537776,153802,45,48,NULL,NULL,NULL,NULL,5255
2537777,153802,48,53,NULL,NULL,NULL,NULL,5255
2537778,153802,53,58,NULL,NULL,NULL,NULL,5255
2537779,153802,58,62,NULL,NULL,NULL,NULL,5255
2537780,153802,62,63,NULL,NULL,NULL,NULL,5255
2537781,153802,63,68,NULL,NULL,NULL,NULL,5255
2537782,153802,68,69,NULL,NULL,NULL,NULL,5255
2537783,153802,69,72,NULL,NULL,NULL,NULL,5255
2537784,153802,72,74,NULL,NULL,NULL,NULL,5255
2537785,153802,74,79,NULL,NULL,NULL,NULL,5255
2537786,153802,79,82,NULL,NULL,NULL,NULL,5255
2537787,153802,82,85,NULL,NULL,NULL,NULL,5255
2537788,153802,85,87,NULL,NULL,NULL,NULL,5255
2537789,153802,87,90,NULL,NULL,NULL,NULL,5255
2537790,153802,90,94,NULL,NULL,NULL,NULL,5255
2537791,153802,94,96,NULL,NULL,NULL,NULL,5255
2537792,153802,96,98,NULL,NULL,NULL,NULL,5255
2537793,153802,98,100,NULL,NULL,NULL,NULL,5255
2537794,153802,100,101,NULL,NULL,NULL,NULL,5255
2537795,153802,101,102,NULL,NULL,NULL,NULL,5255
2537796,153802,102,106,NULL,NULL,NULL,NULL,5255
2537797,153802,106,107,NULL,NULL,NULL,NULL,5255
2537798,153802,107,109,NULL,NULL,NULL,NULL,5255
2537799,153802,109,110,NULL,NULL,NULL,NULL,5255
2537800,153802,110,111,NULL,NULL,NULL,NULL,5255
2537801,153802,111,112,NULL,NULL,NULL,NULL,5255
2537802,153802,112,113,NULL,NULL,NULL,NULL,5255
2537803,153802,113,114,NULL,NULL,NULL,NULL,5255
2537804,153802,114,115,NULL,NULL,NULL,NULL,5255
2537805,153802,115,117,NULL,NULL,NULL,NULL,5255
2537806,153802,117,118,NULL,NULL,NULL,NULL,5255
2537807,153802,118,123,NULL,NULL,NULL,NULL,5255
2537808,153802,123,126,NULL,NULL,NULL,NULL,5255
2537809,153802,126,127,NULL,NULL,NULL,NULL,5255
2537810,153803,0,6,NULL,NULL,NULL,NULL,5255
2537811,153803,6,11,NULL,NULL,NULL,NULL,5255
2537812,153803,11,16,NULL,NULL,NULL,NULL,5255
2537813,153803,16,21,NULL,NULL,NULL,NULL,5255
2537814,153803,21,23,NULL,NULL,NULL,NULL,5255
2537815,153803,23,26,NULL,NULL,NULL,NULL,5255
2537816,153803,26,29,NULL,NULL,NULL,NULL,5255
2537817,153803,29,40,NULL,NULL,NULL,NULL,5255
2537818,153803,40,42,NULL,NULL,NULL,NULL,5255
2537819,153803,42,52,NULL,NULL,NULL,NULL,5255
2537820,153803,52,56,NULL,NULL,NULL,NULL,5255
2537821,153803,56,57,NULL,NULL,NULL,NULL,5255
2537822,153803,57,59,NULL,NULL,NULL,NULL,5255
2537837,153803,104,105,NULL,NULL,NULL,NULL,5255
2537838,153803,105,106,NULL,NULL,NULL,NULL,5255
2537839,153803,106,107,NULL,NULL,NULL,NULL,5255
2537840,153803,107,108,NULL,NULL,NULL,NULL,5255
2537841,153803,108,109,NULL,NULL,NULL,NULL,5255
2537842,153803,109,110,NULL,NULL,NULL,NULL,5255
2537843,153803,110,111,NULL,NULL,NULL,NULL,5255
2537844,153803,111,113,NULL,NULL,NULL,NULL,5255
2537845,153803,113,115,NULL,NULL,NULL,NULL,5255
2537846,153803,115,116,NULL,NULL,NULL,NULL,5255
2537847,153803,116,119,NULL,NULL,NULL,NULL,5255
2537848,153803,119,120,NULL,NULL,NULL,NULL,5255
2537849,153803,120,122,NULL,NULL,NULL,NULL,5255
2537850,153803,122,130,NULL,NULL,NULL,NULL,5255
2537851,153804,0,3,NULL,NULL,NULL,NULL,5255
2537852,153804,3,5,NULL,NULL,NULL,NULL,5255
2537853,153804,5,12,NULL,NULL,NULL,NULL,5255
2537854,153804,12,14.5,NULL,NULL,NULL,NULL,5255
2537855,153804,14.5,18,NULL,NULL,NULL,NULL,5255
2537856,153804,18,20,NULL,NULL,NULL,NULL,5255
2537857,153804,20,23,NULL,NULL,NULL,NULL,5255
2537858,153804,23,24,NULL,NULL,NULL,NULL,5255
2537859,153804,24,25,NULL,NULL,NULL,NULL,5255
2537860,153804,25,26,NULL,NULL,NULL,NULL,5255
2537861,153804,26,27,NULL,NULL,NULL,NULL,5255
2537862,153804,27,30,NULL,NULL,NULL,NULL,5255
2537863,153804,30,31,NULL,NULL,NULL,NULL,5255
2537864,153804,31,32,NULL,NULL,NULL,NULL,5255
2537865,153804,32,33,NULL,NULL,NULL,NULL,5255
2537866,153804,33,37,NULL,NULL,NULL,NULL,5255
2537867,153804,37,39,NULL,NULL,NULL,NULL,5255
2537868,153804,39,41,NULL,NULL,NULL,NULL,5255
2537869,153804,41,44,NULL,NULL,NULL,NULL,5255
2537870,153804,44,49,NULL,NULL,NULL,NULL,5255
2537871,153804,49,50,NULL,NULL,NULL,NULL,5255
2537872,153804,50,51,NULL,NULL,NULL,NULL,5255
2537873,153804,51,56,NULL,NULL,NULL,NULL,5255
2537874,153804,56,58,NULL,NULL,NULL,NULL,5255
2537875,153804,58,61,NULL,NULL,NULL,NULL,5255
2537876,153804,61,62,NULL,NULL,NULL,NULL,5255
2537877,153804,62,70,NULL,NULL,NULL,NULL,5255
2537878,153804,70,72,NULL,NULL,NULL,NULL,5255
2537879,153804,72,76,NULL,NULL,NULL,NULL,5255
2537880,153804,76,77,NULL,NULL,NULL,NULL,5255
2537881,153804,77,78,NULL,NULL,NULL,NULL,5255
2537882,153804,78,80,NULL,NULL,NULL,NULL,5255
2537883,153804,80,81,NULL,NULL,NULL,NULL,5255
2537884,153804,81,82,NULL,NULL,NULL,NULL,5255
2537885,153804,82,84,NULL,NULL,NULL,NULL,5255
2538227,153813,0,6,NULL,NULL,NULL,NULL,5255
2538228,153813,6,8,NULL,NULL,NULL,NULL,5255
2538229,153813,8,10,NULL,NULL,NULL,NULL,5255
2538230,153813,10,13,NULL,NULL,NULL,NULL,5255
2538231,153813,13,14,NULL,NULL,NULL,NULL,5255
2538232,153813,14,16,NULL,NULL,NULL,NULL,5255
2538233,153813,16,17,NULL,NULL,NULL,NULL,5255
2538234,153813,17,18,NULL,NULL,NULL,NULL,5255
2538235,153813,18,20,NULL,NULL,NULL,NULL,5255
2538236,153813,20,21,NULL,NULL,NULL,NULL,5255
2538237,153813,21,23,NULL,NULL,NULL,NULL,5255
2538238,153813,23,24,NULL,NULL,NULL,NULL,5255
2538239,153813,24,25,NULL,NULL,NULL,NULL,5255
2538240,153813,25,26,NULL,NULL,NULL,NULL,5255
2538241,153813,26,27,NULL,NULL,NULL,NULL,5255
2538242,153813,27,30,NULL,NULL,NULL,NULL,5255
2538243,153813,30,34,NULL,NULL,NULL,NULL,5255
2538244,153813,34,35,NULL,NULL,NULL,NULL,5255
2538245,153813,35,36,NULL,NULL,NULL,NULL,5255
2538246,153813,36,37,NULL,NULL,NULL,NULL,5255
2538247,153813,37,39,NULL,NULL,NULL,NULL,5255
2538248,153813,39,41,NULL,NULL,NULL,NULL,5255
2538249,153813,41,50,NULL,NULL,NULL,NULL,5255
2538250,153813,50,51,NULL,NULL,NULL,NULL,5255
2538251,153813,51,60,NULL,NULL,NULL,NULL,5255
2538252,153813,60,62,NULL,NULL,NULL,NULL,5255
2538253,153813,62,66,NULL,NULL,NULL,NULL,5255
2538254,153813,66,68,NULL,NULL,NULL,NULL,5255
2538255,153813,68,71,NULL,NULL,NULL,NULL,5255
2538256,153813,71,74,NULL,NULL,NULL,NULL,5255
2538257,153813,74,76,NULL,NULL,NULL,NULL,5255
2538258,153813,76,78,NULL,NULL,NULL,NULL,5255
2538259,153813,78,79,NULL,NULL,NULL,NULL,5255
2538260,153813,79,86,NULL,NULL,NULL,NULL,5255
2538261,153813,86,89,NULL,NULL,NULL,NULL,5255
2538262,153813,89,91,NULL,NULL,NULL,NULL,5255
2538263,153813,91,92,NULL,NULL,NULL,NULL,5255
2538264,153813,92,101,NULL,NULL,NULL,NULL,5255
2538265,153813,101,103,NULL,NULL,NULL,NULL,5255
2538266,153813,103,106,NULL,NULL,NULL,NULL,5255
2538267,153813,106,112,NULL,NULL,NULL,NULL,5255
2538268,153813,112,115,NULL,NULL,NULL,NULL,5255
2538269,153813,115,116,NULL,NULL,NULL,NULL,5255
2538270,153813,116,117,NULL,NULL,NULL,NULL,5255
2538271,153813,117,119,NULL,NULL,NULL,NULL,5255
2538272,153813,119,120,NULL,NULL,NULL,NULL,5255
2538273,153813,120,123,NULL,NULL,NULL,NULL,5255
2538274,153813,123,124,NULL,NULL,NULL,NULL,5255
2538275,153813,124,134,NULL,NULL,NULL,NULL,5255
2538276,153813,134,136,NULL,NULL,NULL,NULL,5255
2538277,153813,136,137,NULL,NULL,NULL,NULL,5255
2538278,153813,137,140,NULL,NULL,NULL,NULL,5255
2538279,153813,140,144,NULL,NULL,NULL,NULL,5255
2538280,153813,144,145,NULL,NULL,NULL,NULL,5255
2538281,153813,145,146,NULL,NULL,NULL,NULL,5255
2538282,153813,146,147,NULL,NULL,NULL,NULL,5255
2538283,153813,147,148,NULL,NULL,NULL,NULL,5255
2538284,153813,148,149,NULL,NULL,NULL,NULL,5255
2538285,153813,149,150,NULL,NULL,NULL,NULL,5255
2538286,153813,150,151,NULL,NULL,NULL,NULL,5255
2538287,153813,151,152,NULL,NULL,NULL,NULL,5255
2538288,153813,152,153,NULL,NULL,NULL,NULL,5255
2538289,153813,153,154,NULL,NULL,NULL,NULL,5255
2538290,153813,154,156,NULL,NULL,NULL,NULL,5255
2538291,153813,156,157,NULL,NULL,NULL,NULL,5255
2538292,153813,157,158,NULL,NULL,NULL,NULL,5255
2538293,153813,158,160,NULL,NULL,NULL,NULL,5255
2538294,153813,160,163,NULL,NULL,NULL,NULL,5255
2538295,153813,163,169,NULL,NULL,NULL,NULL,5255
2538296,153813,169,170,NULL,NULL,NULL,NULL,5255
2538297,153813,170,174,NULL,NULL,NULL,NULL,5255
2538503,153816,97,98,NULL,NULL,NULL,NULL,5255
2538504,153816,98,99,NULL,NULL,NULL,NULL,5255
2538505,153816,99,100,NULL,NULL,NULL,NULL,5255
2538506,153816,100,101,NULL,NULL,NULL,NULL,5255
2538507,153816,101,102,NULL,NULL,NULL,NULL,5255
2538508,153816,102,103,NULL,NULL,NULL,NULL,5255
2538509,153816,103,104,NULL,NULL,NULL,NULL,5255
2538510,153816,104,105,NULL,NULL,NULL,NULL,5255
2538511,153816,105,106,NULL,NULL,NULL,NULL,5255
2538512,153816,106,107,NULL,NULL,NULL,NULL,5255
2538513,153816,107,108,NULL,NULL,NULL,NULL,5255
2538514,153816,108,109,NULL,NULL,NULL,NULL,5255
2538515,153816,109,110,NULL,NULL,NULL,NULL,5255
2538516,153816,110,111,NULL,NULL,NULL,NULL,5255
2538517,153816,111,112,NULL,NULL,NULL,NULL,5255
2538518,153816,112,113,NULL,NULL,NULL,NULL,5255
