"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid","id-2","collarid","fromdepth","todepth","units","accuracy","modifieddate-2","modifiedby-2","mrtfileid"
"138600018",18819752,"Text","bdd",NULL,NULL,867341,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600017",18819752,"Min4","pyx",NULL,NULL,867326,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600016",18819752,"Min3","rbk",NULL,NULL,867324,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600015",18819752,"Min2","sil",NULL,NULL,867322,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600014",18819752,"Min1","mnt",NULL,NULL,867320,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600013",18819752,"Colour1","bu",NULL,NULL,867319,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600012",18819752,"Gsize","vfg",NULL,NULL,867318,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"138600011",18819752,"Lith1","Sif",NULL,NULL,867313,18819752,1233227,"123.7","190.5",NULL,NULL,NULL,NULL,37131
"186392895",24744142,"Alt Des4","111",NULL,NULL,1119798,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"186392894",24744142,"Hardness","H",NULL,NULL,1119781,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"186392893",24744142,"Weathering","F",NULL,NULL,1119780,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"186392892",24744142,"Grainsize","F",NULL,NULL,1119779,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"186392891",24744142,"Colour","3GY",NULL,NULL,1119778,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"186392890",24744142,"Texture1","MX",NULL,NULL,1119773,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"186392889",24744142,"Lithology1","MDO",NULL,NULL,1119772,24744142,1547585,"110","111",NULL,NULL,NULL,NULL,47515
"86500225",11472926,"H2O","w",NULL,NULL,511785,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500224",11472926,"SQ","M",NULL,NULL,511784,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500223",11472926,"Texture","mas",NULL,NULL,511779,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500222",11472926,"Structure","bnd",NULL,NULL,511778,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500221",11472926,"Mineralisation2","qtz",NULL,NULL,511776,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500220",11472926,"Mineralisation1","mnt",NULL,NULL,511775,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500219",11472926,"Grain","fg",NULL,NULL,511774,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500218",11472926,"Lithology1","Sif",NULL,NULL,511772,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"86500217",11472926,"Colour","dgy",NULL,NULL,511769,11472926,792863,"209","215",NULL,NULL,NULL,NULL,22458
"223113352",29936872,"WATER","DA",NULL,NULL,1316917,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113351",29936872,"Samp_Qual","GS",NULL,NULL,1316916,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113350",29936872,"Structure","FO",NULL,NULL,1316915,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113349",29936872,"Alt1","CB",NULL,NULL,1316905,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113348",29936872,"Mineralogy_4","CY",NULL,NULL,1316903,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113347",29936872,"Mineralogy_3","SE",NULL,NULL,1316902,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113346",29936872,"Mineralogy_2","CH",NULL,NULL,1316901,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113345",29936872,"Mineralogy_1","CB",NULL,NULL,1316900,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113344",29936872,"Text2","FG",NULL,NULL,1316899,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113343",29936872,"Text1","FO",NULL,NULL,1316898,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113342",29936872,"Colour_Int","YW",NULL,NULL,1316895,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113341",29936872,"Colour_Plot","YW",NULL,NULL,1316894,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113340",29936872,"Weathering_Profile","SR",NULL,NULL,1316893,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113339",29936872,"Weathering_Oxide","MW",NULL,NULL,1316892,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113338",29936872,"Lith3","-",NULL,NULL,1316891,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113337",29936872,"Lith2","-",NULL,NULL,1316890,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113336",29936872,"Lith1","AUT",NULL,NULL,1316889,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"223113335",29936872,"DataSet","M1",NULL,NULL,1316885,29936872,1805554,"74","75",NULL,NULL,NULL,NULL,56116
"138568287",18816773,"H2O","d",NULL,NULL,867355,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568286",18816773,"SQ","g",NULL,NULL,867354,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568285",18816773,"Text","mas",NULL,NULL,867341,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568284",18816773,"Min4","aeg",NULL,NULL,867326,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568283",18816773,"Min3","qtz",NULL,NULL,867324,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568282",18816773,"Min2","amp",NULL,NULL,867322,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568281",18816773,"Min1","pyx",NULL,NULL,867320,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568280",18816773,"Colour1","gy",NULL,NULL,867319,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568279",18816773,"Gsize","fg",NULL,NULL,867318,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568278",18816773,"Lith1","Md",NULL,NULL,867313,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138568277",18816773,"Weath_I","F",NULL,NULL,867311,18816773,1233157,"82","90",NULL,NULL,NULL,NULL,37131
"138581563",18817924,"H2O","d",NULL,NULL,867355,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581562",18817924,"SQ","g",NULL,NULL,867354,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581561",18817924,"Slf1pc","0.5",NULL,NULL,867348,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581560",18817924,"Slf1","pyr",NULL,NULL,867347,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581559",18817924,"Vn1pc","0.5",NULL,NULL,867344,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581558",18817924,"Vn1","qtz",NULL,NULL,867343,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581557",18817924,"Text","bnd",NULL,NULL,867341,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581556",18817924,"Min3","cly",NULL,NULL,867324,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581555",18817924,"Min2","sil",NULL,NULL,867322,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
