"id","collarid","depth","units","accuracy","loaddate","loadby","modifieddate","modifiedby","mrtfileid","dip","azimuth"
11903723,4115006,"0",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-60.379","90"
11903724,4115006,"0",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-60","90"
11903725,4115006,"10",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-60.1022","91.0119"
11903726,4115006,"20",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-60.2161","90.1501"
11903727,4115006,"30",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-59.0742","89.446"
11903728,4115006,"40",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-57.9122","88.8221"
11903729,4115006,"50",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-57.659","88.4849"
11903730,4115006,"60",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-57.4413","88.324"
11903731,4115006,"70",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-56.3387","88.4887"
11903732,4115006,"80",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-55.9873","88.6001"
11903733,4115006,"90",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-56.6686","88.6542"
11903734,4115006,"100",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-56.4032","88.5671"
11903736,4115008,"0",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-60.2759","90"
11903737,4115008,"0",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-60","90"
11903738,4115008,"10",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-59.9565","90.747"
11903739,4115008,"20",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-59.3284","90.3667"
11903740,4115008,"30",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-58.8873","90.2512"
11903741,4115008,"40",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-57.1432","91.163"
11903742,4115008,"50",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-56.4853","91.9867"
11903743,4115008,"60",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-56.2213","91.9969"
11903744,4115008,"70",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-55.5999","91.9531"
11903745,4115008,"80",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-55.7465","91.953"
11903746,4115008,"90",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-55.6266","91.8514"
11903747,4115008,"100",NULL,NULL,"2017-09-21 16:43:03.647","INTERNAL\MIAPRAB",NULL,NULL,118461,"-54.8297","91.8335"
