"id","dhsurveyid","attributecolumn","attributevalue","loaddate","loadby","modifieddate","modifiedby","mrtdetailid"
"10893657",1841119,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511746
"10893656",1841119,"Survey Method","Gyrohum","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511745
"10893655",1841119,"Azimuth","315.95","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511744
"10893654",1841119,"Dip","-62.07","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511743
"10895669",1841622,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511746
"10895668",1841622,"Survey Method","Interpreted","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511745
"10895667",1841622,"Azimuth","138.5","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511744
"10895666",1841622,"Dip","-62.7","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511743
"19534759",3310962,"Priority","1","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867364
"19534758",3310962,"Survey Company","Surtron","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867363
"19534757",3310962,"Survey Instrument","GYRODG69","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867362
"19534756",3310962,"Survey Method","Gyro","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867361
"19534755",3310962,"Azimuth_MGA","314.4","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867360
"19534754",3310962,"Dip","-55.94","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867359
"68925407",11903743,"Deviation","P","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040493
"68925406",11903743,"Data_Source","D:\1 Working Data\DH Survey\MMRC270_20140531_RESURVEY.xls","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040488
"68925405",11903743,"Priority","0","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040486
"68925404",11903743,"DHSurvey_Instrument","Reflex_GY","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040485
"68925403",11903743,"DHSurvey_Operator","Driller","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040484
"68925402",11903743,"DHSurvey_Company","McKay","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040483
"68925401",11903743,"Date_Surveyed","31/05/2014","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040482
"68925400",11903743,"NAT_Grid_ID","MGA94_50","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040479
"68925399",11903743,"Orig_Azimuth","91.9969","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040476
"68925398",11903743,"Orig_Grid_ID","MGA94_50","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040475
"68925397",11903743,"DHSurvey_Method","GY","2017-09-21 16:43:03.867","INTERNAL\MIAPRAB",NULL,NULL,3040473
"3218363",570446,"Survey Company","""Surtron Technologies, Perth""","2011-08-30 11:01:46.857","MISRGVP",NULL,NULL,262841
"3218362",570446,"Survey Instrument","GYRODG69","2011-08-30 11:01:46.857","MISRGVP",NULL,NULL,262840
"3218361",570446,"Survey Method","GYRO","2011-08-30 11:01:46.857","MISRGVP",NULL,NULL,262839
"3218360",570446,"Grid","""GDA94, MGA50""","2011-08-30 11:01:46.857","MISRGVP",NULL,NULL,262838
"3218359",570446,"Dip","-88.24","2011-08-30 11:01:46.857","MISRGVP",NULL,NULL,262837
"3218358",570446,"MGA Azimuth","255.9","2011-08-30 11:01:46.857","MISRGVP",NULL,NULL,262836
"10890036",1840212,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511746
"10890035",1840212,"Survey Method","Eastman","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511745
"10890034",1840212,"Azimuth","315","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511744
"10890033",1840212,"Dip","-54","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511743
"10890532",1840336,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511746
"10890531",1840336,"Survey Method","Gyrohum","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511745
"10890530",1840336,"Azimuth","318.1","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511744
"10890529",1840336,"Dip","-59.23","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511743
"10891648",1840615,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511746
"10891647",1840615,"Survey Method","Gyrohum","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511745
"10891646",1840615,"Azimuth","133.5","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511744
"10891645",1840615,"Dip","-62.71","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511743
"10893565",1841096,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511746
"10893564",1841096,"Survey Method","Gyrohum","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511745
"10893563",1841096,"Azimuth","319.03","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511744
"10893562",1841096,"Dip","-61.78","2011-11-23 10:00:39.48","MIMEISS",NULL,NULL,511743
"10896333",1841788,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511746
"10896332",1841788,"Survey Method","Gyrohum","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511745
"10896331",1841788,"Azimuth","285.6","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511744
"10896330",1841788,"Dip","-70.69","2011-11-23 10:00:39.497","MIMEISS",NULL,NULL,511743
"19534285",3310883,"Priority","1","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867364
"19534284",3310883,"Survey Company","SURTRON","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867363
"19534283",3310883,"Survey Instrument","GYRODG69","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867362
"19534282",3310883,"Survey Method","GYRO","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867361
"19534281",3310883,"Azimuth_MGA","136","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867360
"19534280",3310883,"Dip","-54.21","2012-02-17 10:52:47.843","MISRGVP",NULL,NULL,867359
"28096376",4704147,"zNeeds correcting","0","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230511
"28096375",4704147,"load_stamp","13/04/00 18:37","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230505
"28096374",4704147,"operator","DF","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230503
"28096373",4704147,"date_surveyed","13/04/00 0:00","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230502
"28096372",4704147,"instrument","Gyro","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230501
"28096371",4704147,"AMG_azim","263.3","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230500
"28096370",4704147,"LocalGrid_azim","266.3","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230499
"28096369",4704147,"dip","-62.19","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230498
"28096368",4704147,"DataSet","WINDDINE","2012-05-15 14:43:14.547","MIMEISS",NULL,NULL,1230495
"19536517",3311256,"Priority","1","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867364
"19536516",3311256,"Survey Company","SURTRON","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867363
"19536515",3311256,"Survey Instrument","GYRODG69","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867362
"19536514",3311256,"Survey Method","GYRO","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867361
"19536513",3311256,"Azimuth_MGA","0","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867360
"19536512",3311256,"Dip","-87.3","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867359
"19538533",3311603,"Priority","1","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867364
"19538532",3311603,"Survey Company","SURTRON","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867363
"19538531",3311603,"Survey Instrument","GYRODG69","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867362
"19538530",3311603,"Survey Method","GYRO","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867361
"19538529",3311603,"Azimuth_MGA","134.9","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867360
"19538528",3311603,"Dip","-50.76","2012-02-17 10:52:47.857","MISRGVP",NULL,NULL,867359
"10890752",1840391,"Grid","""GDA94, MGA50""","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511746
"10890751",1840391,"Survey Method","Interpreted","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511745
"10890750",1840391,"Azimuth","304.8","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511744
"10890749",1840391,"Dip","-63.03333","2011-11-23 10:00:39.463","MIMEISS",NULL,NULL,511743
"19542346",3312246,"Priority","1","2012-02-17 10:52:47.907","MISRGVP",NULL,NULL,867364
"19542345",3312246,"Survey Company","Surtron","2012-02-17 10:52:47.907","MISRGVP",NULL,NULL,867363
"19542344",3312246,"Survey Instrument","GYRODG69","2012-02-17 10:52:47.907","MISRGVP",NULL,NULL,867362
"19542343",3312246,"Survey Method","Gyro","2012-02-17 10:52:47.907","MISRGVP",NULL,NULL,867361
"19542342",3312246,"Azimuth_MGA","312.2","2012-02-17 10:52:47.907","MISRGVP",NULL,NULL,867360
