Level_3,Level_2,Level_1
fine-grained_volcanic_normal_crystalline_igneous_rock,fine-grained crystalline,igneous
coarse-grained_plutonic_crystalline_igneous_rock,coarse-grained crystalline,igneous
quartz-rich-coarse-grained-crystalline-rock,felsic_coarse-grained crystalline,igneous
hybrid_igneous_rock_and_intrusive_breccia,felsic_fine-grained crystalline,igneous
very_low_to_low-grade_metamorphic_rock,low-grade metamorphic rock,metamorphic rock
fault-related_alkaline_metasomatite,metasomatic,metamorphic rock
cryptocrystalline-sedimentary-rock,sedimentary rock,sedimentary rock
glaciofluvial_ice_contact_deposits,glacigenic_deposit,surficial
fine-crystalline-sedimentary rock,sedimentary rock,sedimentary rock
interglacial_lacustrine_deposits,lacustrine_deposit,surficial
exotic_crystalline_igneous_rock,exotic_crystalline,igneous
normal_crystalline_igneous_rock,igneous rock,igneous
quartz-alkali-feldspar-trachyte,intermediate_fine-grained crystalline,igneous
volcaniclastic-sedimentary-rock,volcaniclastic,igneous
contact_metamorphic_glassy_rock,contact metamorphic,metamorphic rock
metavolcaniclastic-conglomerate,volcaniclastic,sedimentary rock
quartz-alkali-feldspar-syenite,intermediate_coarse-grained crystalline,igneous
coarse-grained-ultramafic-rock,ultramafic_coarse-grained crystalline,igneous
glaciofluvial_channel_deposits,proglacial deposits,surficial
non-ultramafic-melilitic-rock,exotic_crystalline,igneous
gravel-grade-sedimentary rock,sedimentary rock,sedimentary rock
tuffaceous-silicate-sandstone,volcaniclastic debris,sedimentary rock
fine-grained_ultramafic-rock,felsic_fine-grained crystalline,igneous
carbonatite-related_albitite,metasomatic,metamorphic rock
limestone/silicate-sandstone,hybrid,sedimentary rock
siliclastic-sedimentary-rock,siliciclastic,sedimentary rock
metavolcaniclastic-sandstone,volcaniclastic,sedimentary rock
interglacial_fluvial_deposit,alluvial_deposit,surficial
interglacial_marine_deposits,coastal_deposit,surficial
fine-grained_melititic_rock,exotic_crystalline,igneous
tuffaceous-sedimentary-rock,volcaniclastic,igneous
volcaniclastic-conglomerate,volcaniclastic,igneous
volcaniclastic-igneous-rock,volcaniclastic,igneous
high-grade_metamorphic_rock,high-grade metamorphic rock,metamorphic rock
ultramafic_metamorphic_rock,high-grade metamorphic rock,metamorphic rock
metavolcaniclastic-mudstone,volcaniclastic,sedimentary rock
intermediate_plutonic_rock,intermediate_coarse-grained crystalline,igneous
intermediate_volcanic_rock,intermediate_fine-grained crystalline,igneous
pyroxene-hornblende-gabbro,mafic_coarse-grained crystalline,igneous
mud-grade-sedimentary rock,sedimentary rock,sedimentary rock
quartz-rich-granitic-rock,felsic,igneous
ultramafic-melilitic-rock,ultramafic,igneous
high_p/t_metamorphic_rock,high-grade metamorphic rock,metamorphic rock
alkali-feldspar-rhyolite,felsic_fine-grained crystalline,igneous
alkali-feldspar-trachyte,intermediate_fine-grained crystalline,igneous
ultrabasic_plutonic_rock,ultramafic_coarse-grained crystalline,igneous
ultrabasic_volcanic_rock,ultramafic_fine-grained crystalline,igneous
volcaniclastic-sandstone,volcaniclastic,igneous
volcaniclastic-siltstone,volcaniclastic,igneous
contact_metamorphic_rock,contact metamorphic,metamorphic rock
clastic_sedimentary_rock,clastic,sedimentary rock
glaciolacustrine_deposit,proglacial deposits,surficial
compactional-shear_bands,breaks,texture_structure
incohesive_fault-breccia,fault_rock,texture_structure
aegirine-nepheline-rock,exotic_crystalline,igneous
alkali-feldspar-granite,felsic_coarse-grained crystalline,igneous
alkali-feldspar-syenite,intermediate_coarse-grained crystalline,igneous
basaltic-trachyandesite,intermediate_fine-grained crystalline,igneous
volcaniclastic-mudstone,volcaniclastic,igneous
volcaniclastic-sediment,volcaniclastic,igneous
carbonate-silicate_rock,metacarbonate,metamorphic rock
hybrid-sedimentary-rock,hybrid,sedimentary rock
microoncoid-phosphorite,phosphate,sedimentary rock
coastal_barrier_deposit,coastal_deposit,surficial
apatite-magnetite-rock,exotic_crystalline,igneous
quartz-tourmaline-rock,exotic_crystalline,igneous
silicic_volcanic_glass,felsic_glassy,igneous
volcaniclastic-breccia,volcaniclastic,igneous
metamorphic_pyroxenite,high-grade metamorphic rock,metamorphic rock
siliciclastic-sediment,sediment_clastic,sediment
cobble-grade limestone,carbonate,sedimentary rock
gravel-grade limestone,carbonate,sedimentary rock
pebble-grade limestone,carbonate,sedimentary rock
quartzose-porcellanite,non-clastic siliceous,sedimentary rock
sapropelic_coal_series,organic-rich,sedimentary rock
subfeldspathic-arenite,siliciclastic,sedimentary rock
domestic/garden_refuse,artificial_man-made_ground,surficial
manganiferous_deposits,chemical_deposit,surficial
subaqueous_fan_deposit,proglacial deposits,surficial
cohesive_fault-breccia,fault_rock,texture_structure
incohesive_cataclasite,fault_rock,texture_structure
melilite-bearing_rock,exotic_crystalline,igneous
olivine-chromite-rock,exotic_crystalline,igneous
volcaniclastic-gravel,volcaniclastic,igneous
organic-rich-sediment,sediment_organic,sediment
microoncoid-limestone,carbonate,sedimentary rock
ironstone/phosphorite,hybrid,sedimentary rock
banded_iron_formation,ore,mineralisation
microoncoid-ironstone,ironstone,sedimentary rock
gravel-grade-sediment,sedimentary rock,sedimentary rock
silicate-conglomerate,siliciclastic,sedimentary rock
raised_marine_deposit,coastal_deposit,surficial
tidal_channel_deposit,coastal_deposit,surficial
glacial_lake_deposits,proglacial deposits,surficial
incohesive_fault-rock,fault_rock,texture_structure
clinopyroxene-gabbro,mafic_coarse-grained crystalline,igneous
orthopyroxene-gabbro,mafic_coarse-grained crystalline,igneous
pyroclastic_sediment,volcaniclastic,igneous
chlorite_amphibolite,high-grade metamorphic rock,metamorphic rock
sponge-spicular-ooze,sediment_ooze,sediment
lime-pseudosparstone,carbonate,sedimentary rock
sand-grade limestone,carbonate,sedimentary rock
opaline-porcellanite,non-clastic siliceous,sedimentary rock
