Comments_Field,Comment_Attr_val,Comment_cleaned_text,Comment_Fuzzy_wuzzy,Comment_Score,
ALTN_COMMENTS,clay - light brown weathered to clay pervasive and along planes of weakness, clay    light brown  weathered to clay  pervasive and along planes of weakness,mud,100,
ALTN_COMMENTS,Core loss of 1.4m this interval,core loss of 1 4m this interval,Other,43,
ALTN_COMMENTS,Core loss of 1.9m this interval,core loss of 1 9m this interval,Other,43,
ALTN_COMMENTS,Core loss of 1m this interval,core loss of 1m this interval,Other,45,
ALTN_COMMENTS,Core loss of 2.4m 126.6 -129.3m.,core loss of 2 4m 126 6  129 3m ,Other,41,
ALTN_COMMENTS,Core loss of 70cm this interval,core loss of 70cm this interval,Other,43,
ALTN_COMMENTS,Core loss of 90cm this interval,core loss of 90cm this interval,Other,43,
code description.,basalt,basalt,basalt,101,
code description.,black shale,black shale,mudstone,101,
code description.,felsic porphyry,felsic porphyry,porphyry,101,
code description.,granitic porphyry,granitic porphyry,porphyry,101,
code description.,granitoid,granitoid,granitoid,101,
code description.,gravel transported,gravel transported,colluvium,101,
code description.,mafic schist,mafic schist,schist,101,
code description.,schist undiff.,schist  ,schist,101,
code description.,sediment undiff.,sediment  ,sediment,101,
code description.,siltstone,siltstone,mudstone,101,
code description.,transported material,transported material,colluvium,100,
code description.,ultramafic schist,ultramafic schist,schist,101,
code description.,ultramafic undiff.,ultramafic  ,Other,80,
code description.,weathered rock,weathered rock,fine_crystalline_sedimentary,101,
Comment,-, ,exotic_crystalline_igneous_rock,101,
Comment,?,),exotic_crystalline_igneous_rock,100,
Comment,., ,exotic_crystalline_igneous_rock,101,
Comment,"""","""",exotic_crystalline_igneous_rock,100,
Comment,0-101 BLADE EOH 101M,0 101 blade eoh 101m,unclassified_rock,100,
Comment,"0-10CM of colluvial gravel then mottled hard silcrete? colours vary from whites reds oranges/browns. Textures vary b/n massive and clastic up to 10cm","0 10cm of colluvial gravel then mottled  hard ",gravel,100,
Comment,0-19M.-HAMMER,0 19m  hammer,Other,40,
Comment,<0.1M OF TRANS. COVER., 0 1m of trans  cover ,cover,101,
Comment,0 - 2.3M NOT SAMPLED,0   2 3m not sampled,Other,59,
Comment,<0.2M OF RSP CLAY., 0 2m of rsp clay ,mud,101,
Comment,"0.2m QZ-MGN zone at top contact MAS PY- intergrown spidery SI clasts and other sulfides","0 2m qz mgn zone at top contact  mas py  intergrown spidery si clasts and other sulfides",unclassified_rock,100,
Comment,0.2m rhyodacite inclusion at 613m,0 2m rhyodacite inclusion at 613m,rhyolite,100,
