id,cleanup_term,source,definition,exactmatch1,historynote,note,sourcenote,parent1id,parent2id,parent3id
1,!,dh2loop_Symbols,,,,,,,,
2,"""",dh2loop_Symbols,,,,,,,,
3,#,dh2loop_Symbols,,,,,,,,
4,$,dh2loop_Symbols,,,,,,,,
5,%,dh2loop_Symbols,,,,,,,,
6,(,dh2loop_Symbols,,,,,,,,
7,),dh2loop_Symbols,,,,,,,,
8,",",dh2loop_Symbols,,,,,,,,
9,.,dh2loop_Symbols,,,,,,,,
10,/,dh2loop_Symbols,,,,,,,,
11,:,dh2loop_Symbols,,,,,,,,
12,;,dh2loop_Symbols,,,,,,,,
13,@,dh2loop_Symbols,,,,,,,,
14,\,dh2loop_Symbols,,,,,,,,
15,^,dh2loop_Symbols,,,,,,,,
16,_,dh2loop_Symbols,,,,,,,,
17,|,dh2loop_Symbols,,,,,,,,
18,~,dh2loop_Symbols,,,,,,,,
19,>,dh2loop_Symbols,,,,,,,,
20,accidental_pyroclastic_fragment,ParticleType_2016,"Fragment of rock generated by disruption as a direct result of volcanic action but not formed by previous activity of the magmatic system, generally derived from subvolcanic basement.",,,,Gillespie and Styles 1999,pyroclast,,
21,aggregate_non-clastic_particle,ParticleType_2016,Generic term for a non-clastic particle that is itself composed of an aggregation of particles.,,,,this vocabulary,solid_constituent_particle,,
22,advanced_argillic_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0001,,,this vocabulary,alteration_not_specified,,
23,anastomosing_spaced_cleavage,FoliationType_2016,"spaced cleavage domains branch and rejoin, creating lens-shaped microlithons.",,,,"Geoscience Victoria, Australia",spaced_cleavage,,
24,armoured_relict_inclusion,CompoundMaterialConstituentPartRole_2016,an inclusion of an earlier rock that is prevented from further reaction in a later rock by a rim of reaction products,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0002,,,base on Neuendorf et al 2005,inclusion,,
25,alteration_not_specified,AlterationType_2016,"Rock is altered, but type not specified. Any alteration type allowed.",http://resource.geosciml.org/classifier/cgi/alterationtype/0003,,,this vocabulary,top,,
