id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
1,Coarse_grained_plutonic_crystalline_igneous_rock Plutonic_rock Intrusive_rock Intrusive_Dyke Intrusive_Sill Intrusive_Dyke_Sill Intrusive Phaneritic_Igneous_Rock Coarse_Grained_Crystalline_Igneous_Rock Plutonic_Rock Intrusive_Dike Intrusive_Dike_Sill,coarse_grained_plutonic_crystalline_igneous_rock,coarse_grained_crystalline,igneous_rock,1,Igneous rock in which the framework of the rock consists of individual crystals that can be discerned with the unaided eye. Bounding grain size is on the order of 32 to 100 microns. Igneous rocks with 'exotic' composition are excluded from this concept.,Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0189,,
2,Exotic_crystalline_igneous_rock Exotic_Composition_Igneous_Rock ,exotic_crystalline_igneous_rock,exotic_crystalline,igneous_rock,1,"Rock with 'exotic' mineralogical, textural or field setting characteristics; typically dark colored, with abundant phenocrysts. Criteria include: presence of greater than 10 percent melilite or leucite, or presence of kalsilite, or greater than 50 percent carbonate minerals. Includes Carbonatite, Melilitic rock, Kalsilitic rocks, Kimberlite, Lamproite, Leucitic rock and Lamprophyres.",Gillespie and Styles 1999; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0083,,
3,Quartz_alkali_feldspar_trachyte Quartz_Alkali_Feldspar_Trachyte ,quartz_alkali_feldspar_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,Alkali feldspar trachytic rock that contains and between 5 and 20 percent quartz  mineral in the QAPF fraction. QAPF field 6*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0210,,
4,Quartz_alkali_feldspar_syenite Quartz_Alkali_Feldspar_Syenite ,quartz_alkali_feldspar_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Alkali feldspar syenitic rock that contains 5 to 20 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0209,,
5,Alkali_feldspar_rhyolite Alkali_Feldspar_Rhyolite Alkali_Feldspar_Liparite Peralkaline_Rhyolite ,alkali_feldspar_rhyolite,felsic_fine_grained_crystalline,igneous_rock,1,Rhyolitoid in which the ratio of plagioclase to total feldspar is less than 0.1. QAPF field 2.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0005,,
6,Alkali_feldspar_trachyte Alkali_Feldspar_Trachyte ,alkali_feldspar_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,"Trachytoid that has a plagioclase to total feldspar ratio less than 0.1, between 0 and 5 percent quartz in the QAPF fraction, and no feldspathoid minerals. QAPF field 6.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0008,,
7,Alkali_feldspar_granite Alkali_Feldspar_Granite Peralkaline_Granite Alaskite ,alkali_feldspar_granite,felsic_coarse_grained_crystalline,igneous_rock,1.01,Granitic rock that has a plagioclase to total feldspar ratio less than 0.1. QAPF field 2.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0004,,
8,Alkali_feldspar_syenite Alkali_Feldspar_Syenite ,alkali_feldspar_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Alkali feldspar syenitic rock that contains 0-5 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0006,,
9,Hybrid_Sedimentary_Rock Hybrid_Sedimentary_Rock ,hybrid_sedimentary_rock,hybrid,sedimentary_rock,1,Sedimentary rock that does not fit any of the other  composition/genesis categories. Sedimentary rock consisting of three or more components which form more than 5 percent but less than 50 precent  of the material.,"Hallsworth and Knox, 1999",http://resource.geosciml.org/classifier/cgi/lithology/0136,,
10,Gravel_Grade_Sediment Gravel_Size_Sediment ,gravel_grade_sediment,sedimentary_rock,sedimentary_rock,1,Sediment containing greater than 30 percent gravel-size particles (greater than 2.0 mm diameter). Composition or gensis of clasts not specified.,"SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)",http://resource.geosciml.org/classifier/cgi/lithology/0131,,
