attributecolumn,cet_attributecolumn
TD,maxdepth
Max_Depth,maxdepth
TD,maxdepth
TDEPTH,maxdepth
Tot_Depth,maxdepth
Total Hole Depth,maxdepth
Total_depth,maxdepth
Total depth,maxdepth
"""""""DEPTH""""""",maxdepth
"""""""TOT_DEPTH""""""",maxdepth
"""Final
Depth(m)""",maxdepth
"""Hole
Depth""",maxdepth
"""Max Depth
 metres""",maxdepth
"""Max Depth
""",maxdepth
AC Depth,maxdepth
Actual Depth,maxdepth
Auger_DEPTH,maxdepth
BHID1 Max_Depth,maxdepth
core_depth,maxdepth
DD Depth HQ,maxdepth
DD Depth NQ,maxdepth
DD_Depth,maxdepth
DDDepth,maxdepth
DDH_Depth,maxdepth
Depth,maxdepth
DEPTH     N  7  2,maxdepth
DEPTH   7,maxdepth
Depth   m,maxdepth
DEPTH  (m),maxdepth
Depth (EOH),maxdepth
DEPTH (M),maxdepth
Depth (metres),maxdepth
DEPTH _(m),maxdepth
Depth _RC,maxdepth
Depth Diam,maxdepth
Depth Drilled,maxdepth
Depth from_m,maxdepth
Depth m,maxdepth
Depth to_m,maxdepth
Depth(m),maxdepth
Depth_D,maxdepth
Depth_DD,maxdepth
Depth_Diam,maxdepth
Depth_diamond,maxdepth
DEPTH_FT,maxdepth
DEPTH_m,maxdepth
depth_o,maxdepth
Depth_RC,maxdepth
Depth_total,maxdepth
DHDEPTH,maxdepth
Diamond Drill depth,maxdepth
Diamond Tail NQ Depth,maxdepth
DIAMOND_TAIL_DEPTH,maxdepth
DOWN HOLE DEPTH in metres,maxdepth
Drill Depth,maxdepth
Drill_Depth,maxdepth
Drilled_Depth,maxdepth
End of hole depth,maxdepth
END_DEPTH,maxdepth
End_of_Hole_depth,maxdepth
EndDepth,maxdepth
EndOfHoleDepth,maxdepth
EOH Depth,maxdepth
EOH Depth (Metres),maxdepth
EOH_Depth,maxdepth
EOHDepth,maxdepth
F/Depth,maxdepth
F/Depth(m),maxdepth
F_Depth,maxdepth
Fdepth,maxdepth
FIN_DEPTH,maxdepth
Final  Depth,maxdepth
Final Depth,maxdepth
Final Depth (m),maxdepth
FINAL_DEPTH,maxdepth
FinalDepth,maxdepth
Finl_Depth,maxdepth
HDEPTH,maxdepth
Hole depth,maxdepth
Hole Depth (m),maxdepth
Hole_ Depth,maxdepth
Hole_Depth,maxdepth
HOLE_DIPPING_DEPTH,maxdepth
HoleDepth,maxdepth
HQ Depth,maxdepth
��Depth�,maxdepth
MAX DEPTH,maxdepth
max_depth,maxdepth
max_depth (m),maxdepth
Max_Depth m,maxdepth
max_depth N,maxdepth
max_depth(m),maxdepth
MaxDepth,maxdepth
Maximum Depth,maxdepth
Maximum_depth,maxdepth
Min_End_Depth,maxdepth
Mud Drill Depth,maxdepth
RC Depth,maxdepth
RC_DEPTH,maxdepth
RCDepth,maxdepth
TOT DEPTH,maxdepth
TOT_DEPTH,maxdepth
TOT_DEPTH_M,maxdepth
Total  Depth,maxdepth
Total Depth,maxdepth
Total Depth (m),maxdepth
Total Depth Drilled m,maxdepth
Total Depth M,maxdepth
Total Depth(m),maxdepth
Total Hole Depth,maxdepth
Total_ depth,maxdepth
Total_depth,maxdepth
Total_Depth (m),maxdepth
Total_depth_m,maxdepth
TotalDepth,maxdepth
TotalDepth_m,maxdepth
TOTDEPTH,maxdepth
depth,maxdepth
Total_Depth,maxdepth
Max_Depth,maxdepth
Max_depth,maxdepth
Max Depth,maxdepth
PC Depth,maxdepth
Final_Depth,maxdepth
Depth (m),maxdepth
DEPTH,maxdepth
Precollar_Depth,maxdepth
TOTAL_DEPTH,maxdepth
FINAL_Depth,maxdepth
TDepth,maxdepth
Hole_depth,maxdepth
Maxdepth,maxdepth
Tdepth,maxdepth
TDEPTH,maxdepth
Maxdepth,maxdepth
Depth pre_collar,maxdepth
T_depth,maxdepth
"""Depth",maxdepth
toatl_depth,maxdepth
DEPTH M,maxdepth
PreCollar_Depth,maxdepth
Hole_depth,maxdepth
MAX_DEPTH,maxdepth
total_depth,maxdepth
TOTAL DEPTH,maxdepth
Maxdepth,maxdepth
TOTAL DEPTH,maxdepth
Final_dpth,maxdepth
T_depth,maxdepth
t_depth,maxdepth
End_depth,maxdepth
EOH_DEPTH,maxdepth
EOH DEPTH,maxdepth
SURVEY DEPTH,maxdepth
SURVEY_DEPTH,maxdepth
Survey Depth,maxdepth
Sur_Depth,maxdepth
EOH_depth,maxdepth
Precollar Depth,maxdepth
"""depth",maxdepth
